# Temperature : 500
mfp,kcumu,kspec
-1.000000e-03,7.443956e-01,7.443956e-01
5.140244e+00,7.705079e-01,2.611232e-02
5.284421e+00,8.052660e-01,3.475806e-02
5.432642e+00,8.052660e-01,0.000000e+00
5.585021e+00,8.097546e-01,4.488646e-03
5.741673e+00,8.166010e-01,6.846361e-03
5.902720e+00,8.537649e-01,3.716389e-02
6.068284e+00,8.734281e-01,1.966321e-02
6.238491e+00,9.053387e-01,3.191065e-02
6.413473e+00,9.167887e-01,1.145001e-02
6.593363e+00,9.821311e-01,6.534240e-02
6.778298e+00,1.000782e+00,1.865061e-02
6.968421e+00,1.028603e+00,2.782094e-02
7.163876e+00,1.056830e+00,2.822716e-02
7.364813e+00,1.056830e+00,0.000000e+00
7.571387e+00,1.056830e+00,0.000000e+00
7.783755e+00,1.085406e+00,2.857575e-02
8.002079e+00,1.098726e+00,1.332074e-02
8.226527e+00,1.112172e+00,1.344594e-02
8.457270e+00,1.151766e+00,3.959399e-02
8.694486e+00,1.206505e+00,5.473836e-02
8.938355e+00,1.244950e+00,3.844522e-02
9.189065e+00,1.255098e+00,1.014808e-02
9.446806e+00,1.296651e+00,4.155309e-02
9.711777e+00,1.305547e+00,8.895816e-03
9.984180e+00,1.358520e+00,5.297300e-02
1.026422e+01,1.358520e+00,0.000000e+00
1.055212e+01,1.386385e+00,2.786559e-02
1.084809e+01,1.438981e+00,5.259575e-02
1.115237e+01,1.482332e+00,4.335114e-02
1.146518e+01,1.531256e+00,4.892330e-02
1.178676e+01,1.531256e+00,0.000000e+00
1.211737e+01,1.549678e+00,1.842233e-02
1.245724e+01,1.560264e+00,1.058651e-02
1.280665e+01,1.560264e+00,0.000000e+00
1.316586e+01,1.569855e+00,9.590427e-03
1.353515e+01,1.586494e+00,1.663911e-02
1.391479e+01,1.586494e+00,0.000000e+00
1.430508e+01,1.586494e+00,0.000000e+00
1.470632e+01,1.613009e+00,2.651521e-02
1.511882e+01,1.613009e+00,0.000000e+00
1.554288e+01,1.613009e+00,0.000000e+00
1.597884e+01,1.634862e+00,2.185324e-02
1.642702e+01,1.652449e+00,1.758613e-02
1.688778e+01,1.652449e+00,0.000000e+00
1.736146e+01,1.664033e+00,1.158482e-02
1.784843e+01,1.664033e+00,0.000000e+00
1.834905e+01,1.664033e+00,0.000000e+00
1.886372e+01,1.687810e+00,2.377612e-02
1.939283e+01,1.697315e+00,9.505087e-03
1.993677e+01,1.707045e+00,9.730762e-03
2.049597e+01,1.707045e+00,0.000000e+00
2.107086e+01,1.707045e+00,0.000000e+00
2.166187e+01,1.707045e+00,0.000000e+00
2.226945e+01,1.707045e+00,0.000000e+00
2.289408e+01,1.707045e+00,0.000000e+00
2.353623e+01,1.707045e+00,0.000000e+00
2.419639e+01,1.707045e+00,0.000000e+00
2.487507e+01,1.707045e+00,0.000000e+00
2.557279e+01,1.707045e+00,0.000000e+00
2.629007e+01,1.707045e+00,0.000000e+00
2.702747e+01,1.712706e+00,5.660782e-03
2.778556e+01,1.739364e+00,2.665756e-02
2.856491e+01,1.739364e+00,0.000000e+00
2.936612e+01,1.745592e+00,6.228395e-03
3.018980e+01,1.745592e+00,0.000000e+00
3.103658e+01,1.745592e+00,0.000000e+00
3.190712e+01,1.745592e+00,0.000000e+00
3.280207e+01,1.770838e+00,2.524590e-02
3.372213e+01,1.770838e+00,0.000000e+00
3.466799e+01,1.790854e+00,2.001590e-02
3.564039e+01,1.790854e+00,0.000000e+00
3.664005e+01,1.790854e+00,0.000000e+00
3.766776e+01,1.790854e+00,0.000000e+00
3.872429e+01,1.790854e+00,0.000000e+00
3.981046e+01,1.790854e+00,0.000000e+00
4.092709e+01,1.790854e+00,0.000000e+00
4.207504e+01,1.790854e+00,0.000000e+00
4.325519e+01,1.790854e+00,0.000000e+00
4.446845e+01,1.790854e+00,0.000000e+00
4.571573e+01,1.790854e+00,0.000000e+00
4.699800e+01,1.790854e+00,0.000000e+00
4.831623e+01,1.790854e+00,0.000000e+00
4.967144e+01,1.790854e+00,0.000000e+00
5.106466e+01,1.790854e+00,0.000000e+00
5.249696e+01,1.790854e+00,0.000000e+00
5.396943e+01,1.790854e+00,0.000000e+00
