# Temperature : 300
frequency,kcumu,kspec
2.223294e+02,3.836060e+00,0.000000e+00
2.240137e+02,3.836060e+00,0.000000e+00
2.256980e+02,3.836060e+00,0.000000e+00
2.273823e+02,3.836060e+00,0.000000e+00
2.290666e+02,3.836060e+00,0.000000e+00
2.307509e+02,3.836060e+00,0.000000e+00
2.324352e+02,3.836060e+00,0.000000e+00
2.341196e+02,3.836060e+00,0.000000e+00
2.358039e+02,3.836060e+00,0.000000e+00
2.374882e+02,3.836060e+00,0.000000e+00
2.391725e+02,3.836060e+00,0.000000e+00
2.408568e+02,3.836060e+00,0.000000e+00
2.425411e+02,3.836060e+00,0.000000e+00
2.442254e+02,3.836060e+00,0.000000e+00
2.459097e+02,3.836060e+00,0.000000e+00
2.475941e+02,3.836060e+00,0.000000e+00
2.492784e+02,3.836060e+00,0.000000e+00
2.509627e+02,3.836060e+00,0.000000e+00
2.526470e+02,3.836060e+00,0.000000e+00
