# Temperature : 500
frequency,kcumu,kspec
-9.999999e-04,0.000000e+00,0.000000e+00
1.684313e+00,0.000000e+00,0.000000e+00
3.368627e+00,0.000000e+00,0.000000e+00
5.052940e+00,0.000000e+00,0.000000e+00
6.737253e+00,0.000000e+00,0.000000e+00
8.421567e+00,0.000000e+00,0.000000e+00
1.010588e+01,0.000000e+00,0.000000e+00
1.179019e+01,0.000000e+00,0.000000e+00
1.347451e+01,0.000000e+00,0.000000e+00
1.515882e+01,0.000000e+00,0.000000e+00
1.684313e+01,0.000000e+00,0.000000e+00
1.852745e+01,1.662032e-01,1.662032e-01
2.021176e+01,1.854391e-01,1.923585e-02
2.189607e+01,1.854391e-01,0.000000e+00
2.358039e+01,1.854391e-01,0.000000e+00
2.526470e+01,2.909669e-01,1.055279e-01
2.694901e+01,2.909669e-01,0.000000e+00
2.863333e+01,2.909669e-01,0.000000e+00
3.031764e+01,2.909669e-01,0.000000e+00
3.200195e+01,4.365718e-01,1.456049e-01
3.368627e+01,4.365718e-01,0.000000e+00
3.537058e+01,5.059629e-01,6.939105e-02
3.705489e+01,5.059629e-01,0.000000e+00
3.873921e+01,5.104547e-01,4.491786e-03
4.042352e+01,5.801291e-01,6.967444e-02
4.210783e+01,6.044060e-01,2.427693e-02
4.379215e+01,6.044060e-01,0.000000e+00
4.547646e+01,6.146436e-01,1.023758e-02
4.716077e+01,6.146436e-01,0.000000e+00
4.884509e+01,6.496133e-01,3.496970e-02
5.052940e+01,6.615025e-01,1.188918e-02
5.221371e+01,6.815184e-01,2.001590e-02
5.389803e+01,7.507112e-01,6.919286e-02
5.558234e+01,7.570720e-01,6.360738e-03
5.726665e+01,7.646674e-01,7.595421e-03
5.895097e+01,7.730536e-01,8.386209e-03
6.063528e+01,7.865704e-01,1.351680e-02
6.231959e+01,8.103465e-01,2.377612e-02
6.400391e+01,8.707326e-01,6.038609e-02
6.568822e+01,9.041981e-01,3.346542e-02
6.737253e+01,9.171992e-01,1.300114e-02
6.905685e+01,9.389663e-01,2.176715e-02
7.074116e+01,9.534351e-01,1.446875e-02
7.242547e+01,9.786959e-01,2.526076e-02
7.410979e+01,9.788727e-01,1.768385e-04
7.579410e+01,1.023201e+00,4.432784e-02
7.747841e+01,1.043568e+00,2.036788e-02
7.916273e+01,1.098252e+00,5.468365e-02
8.084704e+01,1.135100e+00,3.684766e-02
8.253135e+01,1.166869e+00,3.176922e-02
8.421567e+01,1.197525e+00,3.065569e-02
8.589998e+01,1.225285e+00,2.776057e-02
8.758429e+01,1.277357e+00,5.207140e-02
8.926861e+01,1.310098e+00,3.274129e-02
9.095292e+01,1.345207e+00,3.510960e-02
9.263723e+01,1.370592e+00,2.538417e-02
9.432155e+01,1.424526e+00,5.393461e-02
9.600586e+01,1.464104e+00,3.957812e-02
9.769017e+01,1.529786e+00,6.568162e-02
9.937449e+01,1.557640e+00,2.785437e-02
1.010588e+02,1.568107e+00,1.046636e-02
1.027431e+02,1.592356e+00,2.424932e-02
1.044274e+02,1.613948e+00,2.159157e-02
1.061117e+02,1.689265e+00,7.531700e-02
1.077961e+02,1.700490e+00,1.122579e-02
1.094804e+02,1.709687e+00,9.196628e-03
1.111647e+02,1.712945e+00,3.257508e-03
1.128490e+02,1.716744e+00,3.799256e-03
1.145333e+02,1.716987e+00,2.434400e-04
1.162176e+02,1.765724e+00,4.873708e-02
1.179019e+02,1.777790e+00,1.206569e-02
1.195862e+02,1.817543e+00,3.975279e-02
1.212706e+02,1.832918e+00,1.537532e-02
1.229549e+02,1.859151e+00,2.623241e-02
1.246392e+02,1.859788e+00,6.369659e-04
1.263235e+02,1.890494e+00,3.070683e-02
1.280078e+02,1.904994e+00,1.449931e-02
1.296921e+02,1.927760e+00,2.276608e-02
1.313764e+02,1.948109e+00,2.034963e-02
1.330608e+02,1.954419e+00,6.309867e-03
1.347451e+02,2.003404e+00,4.898509e-02
1.364294e+02,2.030351e+00,2.694686e-02
1.381137e+02,2.064796e+00,3.444478e-02
1.397980e+02,2.080719e+00,1.592271e-02
1.414823e+02,2.090875e+00,1.015662e-02
