# Created by auto-kappa
# 3ph scattering  : ./mp-22862/cube/kappa_fd_14x14x14/NaCl.result
# Isotope      : ./mp-22862/cube/kappa_fd_14x14x14/NaCl.self_isotope
# Temperature [K] : 50.00 to 1000.00
# Grain size [nm] : 3.16 to 100000.00
temperature[K],grain_size[nm],kave[W/mK],kxx[W/mK],kxy[W/mK],kxz[W/mK],kyx[W/mK],kyy[W/mK],kyz[W/mK],kzx[W/mK],kzy[W/mK],kzz[W/mK]
5.0000000e+01,6.2505519e+02,1.5338391e+01,1.5338356e+01,-1.5405009e-03,-1.2306897e-03,-1.5405009e-03,1.5338412e+01,-1.1874534e-03,-1.2306897e-03,-1.1874534e-03,1.5338405e+01
5.0000000e+01,7.7224499e+02,1.6280466e+01,1.6280430e+01,-1.5837868e-03,-1.2707097e-03,-1.5837868e-03,1.6280488e+01,-1.2255465e-03,-1.2707097e-03,-1.2255465e-03,1.6280479e+01
5.0000000e+01,9.5409548e+02,1.7207344e+01,1.7207308e+01,-1.6215266e-03,-1.3057445e-03,-1.6215266e-03,1.7207367e+01,-1.2589609e-03,-1.3057445e-03,-1.2589609e-03,1.7207356e+01
5.0000000e+01,1.1787686e+03,1.8117742e+01,1.8117706e+01,-1.6540655e-03,-1.3360523e-03,-1.6540655e-03,1.8117766e+01,-1.2879154e-03,-1.3360523e-03,-1.2879154e-03,1.8117754e+01
5.0000000e+01,1.4563485e+03,1.9010894e+01,1.9010858e+01,-1.6818438e-03,-1.3619966e-03,-1.6818438e-03,1.9010919e+01,-1.3127360e-03,-1.3619966e-03,-1.3127360e-03,1.9010906e+01
5.0000000e+01,1.7992936e+03,1.9886101e+01,1.9886065e+01,-1.7053536e-03,-1.3840031e-03,-1.7053536e-03,1.9886127e+01,-1.3338138e-03,-1.3840031e-03,-1.3338138e-03,1.9886113e+01
5.0000000e+01,2.2229965e+03,2.0742257e+01,2.0742220e+01,-1.7251027e-03,-1.4025228e-03,-1.7251027e-03,2.0742283e+01,-1.3515689e-03,-1.4025228e-03,-1.3515689e-03,2.0742268e+01
5.0000000e+01,2.7464741e+03,2.1577424e+01,2.1577387e+01,-1.7415874e-03,-1.4180040e-03,-1.7415874e-03,2.1577450e+01,-1.3664227e-03,-1.4180040e-03,-1.3664227e-03,2.1577435e+01
5.0000000e+01,3.3932218e+03,2.2388560e+01,2.2388523e+01,-1.7552734e-03,-1.4308722e-03,-1.7552734e-03,2.2388587e+01,-1.3787772e-03,-1.4308722e-03,-1.3787772e-03,2.2388571e+01
5.0000000e+01,4.1922674e+03,2.3171454e+01,2.3171417e+01,-1.7665847e-03,-1.4415178e-03,-1.7665847e-03,2.3171481e+01,-1.3890033e-03,-1.4415178e-03,-1.3890033e-03,2.3171465e+01
