# Created by auto-kappa
# 3ph scattering  : ./mp-22862/cube/kappa_fd_14x14x14/NaCl.result
# Isotope      : ./mp-22862/cube/kappa_fd_14x14x14/NaCl.self_isotope
# Temperature [K] : 50.00 to 1000.00
# Grain size [nm] : 3.16 to 100000.00
temperature[K],grain_size[nm],kave[W/mK],kxx[W/mK],kxy[W/mK],kxz[W/mK],kyx[W/mK],kyy[W/mK],kyz[W/mK],kzx[W/mK],kzy[W/mK],kzz[W/mK]
1.5000000e+02,3.9998234e+01,3.5771841e+00,3.5771330e+00,-7.4954372e-04,-5.7405988e-04,-7.4954372e-04,3.5770622e+00,-5.6726898e-04,-5.7405988e-04,-5.6726898e-04,3.5773571e+00
1.5000000e+02,4.9417134e+01,3.8565888e+00,3.8565339e+00,-7.9771213e-04,-6.1477757e-04,-7.9771213e-04,3.8564646e+00,-6.0472042e-04,-6.1477757e-04,-6.0472042e-04,3.8567677e+00
1.5000000e+02,6.1054023e+01,4.1289632e+00,4.1289049e+00,-8.4304230e-04,-6.5341390e-04,-8.4304230e-04,4.1288371e+00,-6.4024113e-04,-6.5341390e-04,-6.4024113e-04,4.1291477e+00
1.5000000e+02,7.5431201e+01,4.3920203e+00,4.3919587e+00,-8.8505748e-04,-6.8949456e-04,-8.8505748e-04,4.3918924e+00,-6.7342357e-04,-6.8949456e-04,-6.7342357e-04,4.3922096e+00
1.5000000e+02,9.3193958e+01,4.6441425e+00,4.6440781e+00,-9.2342250e-04,-7.2266296e-04,-9.2342250e-04,4.6440132e+00,-7.0395440e-04,-7.2266296e-04,-7.0395440e-04,4.6443363e+00
1.5000000e+02,1.1513954e+02,4.8843919e+00,4.8843250e+00,-9.5795297e-04,-7.5269422e-04,-9.5795297e-04,4.8842613e+00,-7.3163039e-04,-7.5269422e-04,-7.3163039e-04,4.8845894e+00
1.5000000e+02,1.4225293e+02,5.1124514e+00,5.1123823e+00,-9.8861079e-04,-7.7949612e-04,-9.8861079e-04,5.1123197e+00,-7.5636307e-04,-7.7949612e-04,-7.5636307e-04,5.1126522e+00
1.5000000e+02,1.7575106e+02,5.3285114e+00,5.3284404e+00,-1.0154874e-03,-8.0309772e-04,-1.0154874e-03,5.3283788e+00,-7.7817185e-04,-8.0309772e-04,-7.7817185e-04,5.3287151e+00
1.5000000e+02,2.1713743e+02,5.5331191e+00,5.5330464e+00,-1.0387783e-03,-8.2362879e-04,-1.0387783e-03,5.5329857e+00,-7.9716776e-04,-8.2362879e-04,-7.9716776e-04,5.5333251e+00
1.5000000e+02,2.6826958e+02,5.7270104e+00,5.7269364e+00,-1.0587538e-03,-8.4129428e-04,-1.0587538e-03,5.7268764e+00,-8.1353164e-04,-8.4129428e-04,-8.1353164e-04,5.7272185e+00
1.5000000e+02,3.3144247e+02,5.9109477e+00,5.9108725e+00,-1.0757299e-03,-8.5634792e-04,-1.0757299e-03,5.9108131e+00,-8.2749080e-04,-8.5634792e-04,-8.2749080e-04,5.9111574e+00
1.5000000e+02,4.0949151e+02,6.0855793e+00,6.0855032e+00,-1.0900424e-03,-8.6906839e-04,-1.0900424e-03,6.0854443e+00,-8.3929725e-04,-8.6906839e-04,-8.3929725e-04,6.0857904e+00
1.5000000e+02,5.0591975e+02,6.2513384e+00,6.2512615e+00,-1.1020270e-03,-8.7973980e-04,-1.1020270e-03,6.2512031e+00,-8.4920970e-04,-8.7973980e-04,-8.4920970e-04,6.2515507e+00
1.5000000e+02,6.2505519e+02,6.4083908e+00,6.4083133e+00,-1.1120039e-03,-8.8863725e-04,-1.1120039e-03,6.4082552e+00,-8.5747988e-04,-8.8863725e-04,-8.5747988e-04,6.4086041e+00
1.5000000e+02,7.7224499e+02,6.5566357e+00,6.5565576e+00,-1.1202686e-03,-8.9601717e-04,-1.1202686e-03,6.5564998e+00,-8.6434338e-04,-8.9601717e-04,-8.6434338e-04,6.5568497e+00
1.5000000e+02,9.5409548e+02,6.6957564e+00,6.6956778e+00,-1.1270868e-03,-9.0211178e-04,-1.1270868e-03,6.6956202e+00,-8.7001417e-04,-9.0211178e-04,-8.7001417e-04,6.6959710e+00
1.5000000e+02,1.1787686e+03,6.8253085e+00,6.8252296e+00,-1.1326924e-03,-9.0712674e-04,-1.1326924e-03,6.8251722e+00,-8.7468220e-04,-9.0712674e-04,-8.7468220e-04,6.8255237e+00
1.5000000e+02,1.4563485e+03,6.9448276e+00,6.9447484e+00,-1.1372879e-03,-9.1124092e-04,-1.1372879e-03,6.9446911e+00,-8.7851299e-04,-9.1124092e-04,-8.7851299e-04,6.9450432e+00
1.5000000e+02,1.7992936e+03,7.0539342e+00,7.0538547e+00,-1.1410465e-03,-9.1460778e-04,-1.1410465e-03,7.0537976e+00,-8.8164877e-04,-9.1460778e-04,-8.8164877e-04,7.0541501e+00
1.5000000e+02,2.2229965e+03,7.1524194e+00,7.1523398e+00,-1.1441147e-03,-9.1735746e-04,-1.1441147e-03,7.1522828e+00,-8.8421028e-04,-9.1735746e-04,-8.8421028e-04,7.1526357e+00
1.5000000e+02,2.7464741e+03,7.2402977e+00,7.2402179e+00,-1.1466154e-03,-9.1959935e-04,-1.1466154e-03,7.2401610e+00,-8.8629912e-04,-9.1959935e-04,-8.8629912e-04,7.2405142e+00
1.5000000e+02,3.3932218e+03,7.3178221e+00,7.3177422e+00,-1.1486509e-03,-9.2142474e-04,-1.1486509e-03,7.3176853e+00,-8.8800014e-04,-9.2142474e-04,-8.8800014e-04,7.3180388e+00
1.5000000e+02,4.1922674e+03,7.3854684e+00,7.3853884e+00,-1.1503059e-03,-9.2290935e-04,-1.1503059e-03,7.3853316e+00,-8.8938376e-04,-9.2290935e-04,-8.8938376e-04,7.3856853e+00
1.5000000e+02,5.1794747e+03,7.4438942e+00,7.4438141e+00,-1.1516505e-03,-9.2411571e-04,-1.1516505e-03,7.4437574e+00,-8.9050816e-04,-9.2411571e-04,-8.9050816e-04,7.4441112e+00
1.5000000e+02,6.3991523e+03,7.4938858e+00,7.4938056e+00,-1.1527421e-03,-9.2509524e-04,-1.1527421e-03,7.4937489e+00,-8.9142121e-04,-9.2509524e-04,-8.9142121e-04,7.4941029e+00
1.5000000e+02,7.9060432e+03,7.5363024e+00,7.5362221e+00,-1.1536278e-03,-9.2589012e-04,-1.1536278e-03,7.5361655e+00,-8.9216219e-04,-9.2589012e-04,-8.9216219e-04,7.5365195e+00
1.5000000e+02,9.7677811e+03,7.5720252e+00,7.5719449e+00,-1.1543461e-03,-9.2653483e-04,-1.1543461e-03,7.5718883e+00,-8.9276322e-04,-9.2653483e-04,-8.9276322e-04,7.5722424e+00
1.5000000e+02,1.2067926e+04,7.6019165e+00,7.6018361e+00,-1.1549284e-03,-9.2705755e-04,-1.1549284e-03,7.6017795e+00,-8.9325054e-04,-9.2705755e-04,-8.9325054e-04,7.6021337e+00
1.5000000e+02,1.4909717e+04,7.6267891e+00,7.6267087e+00,-1.1554003e-03,-9.2748122e-04,-1.1554003e-03,7.6266521e+00,-8.9364554e-04,-9.2748122e-04,-8.9364554e-04,7.6270064e+00
1.5000000e+02,1.8420700e+04,7.6473877e+00,7.6473073e+00,-1.1557827e-03,-9.2782452e-04,-1.1557827e-03,7.6472507e+00,-8.9396561e-04,-9.2782452e-04,-8.9396561e-04,7.6476050e+00
1.5000000e+02,2.2758459e+04,7.6643784e+00,7.6642980e+00,-1.1560925e-03,-9.2810263e-04,-1.1560925e-03,7.6642414e+00,-8.9422491e-04,-9.2810263e-04,-8.9422491e-04,7.6645958e+00
1.5000000e+02,2.8117687e+04,7.6783462e+00,7.6782658e+00,-1.1563434e-03,-9.2832791e-04,-1.1563434e-03,7.6782092e+00,-8.9443495e-04,-9.2832791e-04,-8.9443495e-04,7.6785636e+00
1.5000000e+02,3.4738921e+04,7.6897968e+00,7.6897163e+00,-1.1565466e-03,-9.2851035e-04,-1.1565466e-03,7.6896598e+00,-8.9460505e-04,-9.2851035e-04,-8.9460505e-04,7.6900142e+00
1.5000000e+02,4.2919343e+04,7.6991620e+00,7.6990816e+00,-1.1567112e-03,-9.2865809e-04,-1.1567112e-03,7.6990250e+00,-8.9474281e-04,-9.2865809e-04,-8.9474281e-04,7.6993794e+00
1.5000000e+02,5.3026113e+04,7.7068071e+00,7.7067266e+00,-1.1568444e-03,-9.2877771e-04,-1.1568444e-03,7.7066701e+00,-8.9485435e-04,-9.2877771e-04,-8.9485435e-04,7.7070245e+00
1.5000000e+02,6.5512856e+04,7.7130381e+00,7.7129576e+00,-1.1569523e-03,-9.2887457e-04,-1.1569523e-03,7.7129011e+00,-8.9494466e-04,-9.2887457e-04,-8.9494466e-04,7.7132555e+00
1.5000000e+02,8.0940012e+04,7.7181101e+00,7.7180296e+00,-1.1570396e-03,-9.2895298e-04,-1.1570396e-03,7.7179731e+00,-8.9501777e-04,-9.2895298e-04,-8.9501777e-04,7.7183275e+00
1.5000000e+02,1.0000000e+05,7.7222342e+00,7.7221537e+00,-1.1571103e-03,-9.2901647e-04,-1.1571103e-03,7.7220972e+00,-8.9507697e-04,-9.2901647e-04,-8.9507697e-04,7.7224517e+00
2.0000000e+02,3.1622777e+00,7.7401136e-01,7.7399942e-01,-1.8926300e-04,-1.3258652e-04,-1.8926300e-04,7.7394726e-01,-1.4295779e-04,-1.3258652e-04,-1.4295779e-04,7.7408738e-01
2.0000000e+02,3.9069399e+00,9.0499248e-01,9.0497861e-01,-2.1901081e-04,-1.5489075e-04,-2.1901081e-04,9.0492272e-01,-1.6545772e-04,-1.5489075e-04,-1.6545772e-04,9.0507609e-01
2.0000000e+02,4.8269574e+00,1.0506905e+00,1.0506745e+00,-2.5152816e-04,-1.7959799e-04,-2.5152816e-04,1.0506154e+00,-1.9004216e-04,-1.7959799e-04,-1.9004216e-04,1.0507817e+00
2.0000000e+02,5.9636233e+00,1.2108003e+00,1.2107818e+00,-2.8661630e-04,-2.0661092e-04,-2.8661630e-04,1.2107201e+00,-2.1655830e-04,-2.0661092e-04,-2.1655830e-04,1.2108990e+00
2.0000000e+02,7.3679546e+00,1.3845312e+00,1.3845101e+00,-3.2397878e-04,-2.3574504e-04,-3.2397878e-04,1.3844463e+00,-2.4478450e-04,-2.3574504e-04,-2.4478450e-04,1.3846372e+00
2.0000000e+02,9.1029818e+00,1.5705903e+00,1.5705663e+00,-3.6322682e-04,-2.6672854e-04,-3.6322682e-04,1.5705011e+00,-2.7443694e-04,-2.6672854e-04,-2.7443694e-04,1.5707036e+00
2.0000000e+02,1.1246578e+01,1.7672016e+00,1.7671744e+00,-4.0389005e-04,-2.9920807e-04,-4.0389005e-04,1.7671084e+00,-3.0517923e-04,-2.9920807e-04,-3.0517923e-04,1.7673218e+00
2.0000000e+02,1.3894955e+01,1.9721640e+00,1.9721336e+00,-4.4543155e-04,-3.3275955e-04,-4.4543155e-04,1.9720673e+00,-3.3663330e-04,-3.3275955e-04,-3.3663330e-04,1.9722910e+00
2.0000000e+02,1.7166979e+01,2.1829492e+00,2.1829154e+00,-4.8726679e-04,-3.6690352e-04,-4.8726679e-04,2.1828493e+00,-3.6839050e-04,-3.6690352e-04,-3.6839050e-04,2.1830828e+00
2.0000000e+02,2.1209509e+01,2.3968326e+00,2.3967955e+00,-5.2878618e-04,-4.0112410e-04,-5.2878618e-04,2.3967299e+00,-4.0002303e-04,-4.0112410e-04,-4.0002303e-04,2.3969725e+00
2.0000000e+02,2.6203985e+01,2.6110481e+00,2.6110077e+00,-5.6938088e-04,-4.3489139e-04,-5.6938088e-04,2.6109429e+00,-4.3109687e-04,-4.3489139e-04,-4.3109687e-04,2.6111939e+00
2.0000000e+02,3.2374575e+01,2.8229517e+00,2.8229080e+00,-6.0847154e-04,-4.6768694e-04,-6.0847154e-04,2.8228442e+00,-4.6118737e-04,-4.6768694e-04,-4.6118737e-04,2.8231029e+00
2.0000000e+02,3.9998234e+01,3.0301764e+00,3.0301297e+00,-6.4553775e-04,-4.9903087e-04,-6.4553775e-04,3.0300670e+00,-4.8989817e-04,-4.9903087e-04,-4.8989817e-04,3.0303327e+00
2.0000000e+02,4.9417134e+01,3.2307605e+00,3.2307108e+00,-6.8014551e-04,-5.2850836e-04,-6.8014551e-04,3.2306493e+00,-5.1688199e-04,-5.2850836e-04,-5.1688199e-04,3.2309214e+00
2.0000000e+02,6.1054023e+01,3.4232323e+00,3.4231801e+00,-7.1196868e-04,-5.5579198e-04,-7.1196868e-04,3.4231195e+00,-5.4186018e-04,-5.5579198e-04,-5.4186018e-04,3.4233972e+00
2.0000000e+02,7.5431201e+01,3.6066437e+00,3.6065892e+00,-7.4080111e-04,-5.8065640e-04,-7.4080111e-04,3.6065297e+00,-5.6463745e-04,-5.8065640e-04,-5.6463745e-04,3.6068123e+00
2.0000000e+02,9.3193958e+01,3.7805494e+00,3.7804929e+00,-7.6655779e-04,-6.0298313e-04,-7.6655779e-04,3.7804343e+00,-5.8510866e-04,-6.0298313e-04,-5.8510866e-04,3.7807212e+00
2.0000000e+02,1.1513954e+02,3.9449385e+00,3.9448801e+00,-7.8926513e-04,-6.2275518e-04,-7.8926513e-04,3.9448224e+00,-6.0325664e-04,-6.2275518e-04,-6.0325664e-04,3.9451130e+00
2.0000000e+02,1.4225293e+02,4.1001306e+00,4.1000707e+00,-8.0904304e-04,-6.4004322e-04,-8.0904304e-04,4.1000136e+00,-6.1914197e-04,-6.4004322e-04,-6.1914197e-04,4.1003074e+00
2.0000000e+02,1.7575106e+02,4.2466528e+00,4.2465916e+00,-8.2608218e-04,-6.5498647e-04,-8.2608218e-04,4.2465352e+00,-6.3288725e-04,-6.5498647e-04,-6.3288725e-04,4.2468316e+00
2.0000000e+02,2.1713743e+02,4.3851133e+00,4.3850510e+00,-8.4062001e-04,-6.6777169e-04,-8.4062001e-04,4.3849951e+00,-6.4465897e-04,-6.6777169e-04,-6.4465897e-04,4.3852937e+00
2.0000000e+02,2.6826958e+02,4.5160861e+00,4.5160230e+00,-8.5291880e-04,-6.7861312e-04,-8.5291880e-04,4.5159675e+00,-6.5464973e-04,-6.7861312e-04,-6.5464973e-04,4.5162680e+00
2.0000000e+02,3.3144247e+02,4.6400220e+00,4.6399581e+00,-8.6324727e-04,-6.8773549e-04,-8.6324727e-04,4.6399030e+00,-6.6306275e-04,-6.8773549e-04,-6.6306275e-04,4.6402050e+00
2.0000000e+02,4.0949151e+02,4.7571917e+00,4.7571271e+00,-8.7186681e-04,-6.9536081e-04,-8.7186681e-04,4.7570724e+00,-6.7009977e-04,-6.9536081e-04,-6.7009977e-04,4.7573756e+00
2.0000000e+02,5.0591975e+02,4.8676690e+00,4.8676040e+00,-8.7902203e-04,-7.0169917e-04,-8.7902203e-04,4.8675495e+00,-6.7595240e-04,-7.0169917e-04,-6.7595240e-04,4.8678537e+00
2.0000000e+02,6.2505519e+02,4.9713515e+00,4.9712860e+00,-8.8493521e-04,-7.0694304e-04,-8.8493521e-04,4.9712317e+00,-6.8079671e-04,-7.0694304e-04,-6.8079671e-04,4.9715369e+00
2.0000000e+02,7.7224499e+02,5.0680126e+00,5.0679467e+00,-8.8980376e-04,-7.1126441e-04,-8.8980376e-04,5.0678926e+00,-6.8479038e-04,-7.1126441e-04,-6.8479038e-04,5.0681985e+00
2.0000000e+02,9.5409548e+02,5.1573737e+00,5.1573075e+00,-8.9379984e-04,-7.1481398e-04,-8.9379984e-04,5.1572536e+00,-6.8807186e-04,-7.1481398e-04,-6.8807186e-04,5.1575600e+00
2.0000000e+02,1.1787686e+03,5.2391809e+00,5.2391145e+00,-8.9707141e-04,-7.1772175e-04,-8.9707141e-04,5.2390607e+00,-6.9076074e-04,-7.1772175e-04,-6.9076074e-04,5.2393675e+00
2.0000000e+02,1.4563485e+03,5.3132730e+00,5.3132064e+00,-8.9974420e-04,-7.2009849e-04,-8.9974420e-04,5.3131526e+00,-6.9295905e-04,-7.2009849e-04,-6.9295905e-04,5.3134599e+00
2.0000000e+02,1.7992936e+03,5.3796285e+00,5.3795618e+00,-9.0192403e-04,-7.2203764e-04,-9.0192403e-04,5.3795081e+00,-6.9475295e-04,-7.2203764e-04,-6.9475295e-04,5.3798157e+00
2.0000000e+02,2.2229965e+03,5.4383887e+00,5.4383218e+00,-9.0369930e-04,-7.2361742e-04,-9.0369930e-04,5.4382682e+00,-6.9621461e-04,-7.2361742e-04,-6.9621461e-04,5.4385760e+00
2.0000000e+02,2.7464741e+03,5.4898546e+00,5.4897876e+00,-9.0514343e-04,-7.2490286e-04,-9.0514343e-04,5.4897341e+00,-6.9740409e-04,-7.2490286e-04,-6.9740409e-04,5.4900421e+00
2.0000000e+02,3.3932218e+03,5.5344654e+00,5.5343983e+00,-9.0631708e-04,-7.2594777e-04,-9.0631708e-04,5.5343448e+00,-6.9837109e-04,-7.2594777e-04,-6.9837109e-04,5.5346530e+00
2.0000000e+02,4.1922674e+03,5.5727640e+00,5.5726969e+00,-9.0727018e-04,-7.2679646e-04,-9.0727018e-04,5.5726434e+00,-6.9915657e-04,-7.2679646e-04,-6.9915657e-04,5.5729517e+00
2.0000000e+02,5.1794747e+03,5.6053582e+00,5.6052910e+00,-9.0804369e-04,-7.2748534e-04,-9.0804369e-04,5.6052376e+00,-6.9979417e-04,-7.2748534e-04,-6.9979417e-04,5.6055460e+00
2.0000000e+02,6.3991523e+03,5.6328831e+00,5.6328159e+00,-9.0867113e-04,-7.2804419e-04,-9.0867113e-04,5.6327625e+00,-7.0031146e-04,-7.2804419e-04,-7.0031146e-04,5.6330710e+00
2.0000000e+02,7.9060432e+03,5.6559695e+00,5.6559023e+00,-9.0917987e-04,-7.2849736e-04,-9.0917987e-04,5.6558489e+00,-7.0073094e-04,-7.2849736e-04,-7.0073094e-04,5.6561574e+00
2.0000000e+02,9.7677811e+03,5.6752193e+00,5.6751520e+00,-9.0959224e-04,-7.2886471e-04,-9.0959224e-04,5.6750986e+00,-7.0107100e-04,-7.2886471e-04,-7.0107100e-04,5.6754072e+00
2.0000000e+02,1.2067926e+04,5.6911893e+00,5.6911220e+00,-9.0992640e-04,-7.2916241e-04,-9.0992640e-04,5.6910686e+00,-7.0134659e-04,-7.2916241e-04,-7.0134659e-04,5.6913773e+00
2.0000000e+02,1.4909717e+04,5.7043817e+00,5.7043144e+00,-9.1019712e-04,-7.2940360e-04,-9.1019712e-04,5.7042610e+00,-7.0156987e-04,-7.2940360e-04,-7.0156987e-04,5.7045697e+00
2.0000000e+02,1.8420700e+04,5.7152405e+00,5.7151732e+00,-9.1041641e-04,-7.2959898e-04,-9.1041641e-04,5.7151198e+00,-7.0175074e-04,-7.2959898e-04,-7.0175074e-04,5.7154286e+00
2.0000000e+02,2.2758459e+04,5.7241518e+00,5.7240844e+00,-9.1059401e-04,-7.2975722e-04,-9.1059401e-04,5.7240310e+00,-7.0189724e-04,-7.2975722e-04,-7.0189724e-04,5.7243398e+00
2.0000000e+02,2.8117687e+04,5.7314464e+00,5.7313790e+00,-9.1073783e-04,-7.2988537e-04,-9.1073783e-04,5.7313257e+00,-7.0201588e-04,-7.2988537e-04,-7.0201588e-04,5.7316345e+00
2.0000000e+02,3.4738921e+04,5.7374055e+00,5.7373381e+00,-9.1085428e-04,-7.2998914e-04,-9.1085428e-04,5.7372847e+00,-7.0211194e-04,-7.2998914e-04,-7.0211194e-04,5.7375935e+00
2.0000000e+02,4.2919343e+04,5.7422652e+00,5.7421978e+00,-9.1094857e-04,-7.3007316e-04,-9.1094857e-04,5.7421444e+00,-7.0218973e-04,-7.3007316e-04,-7.0218973e-04,5.7424533e+00
2.0000000e+02,5.3026113e+04,5.7462228e+00,5.7461554e+00,-9.1102491e-04,-7.3014118e-04,-9.1102491e-04,5.7461021e+00,-7.0225270e-04,-7.3014118e-04,-7.0225270e-04,5.7464109e+00
2.0000000e+02,6.5512856e+04,5.7494422e+00,5.7493748e+00,-9.1108671e-04,-7.3019625e-04,-9.1108671e-04,5.7493214e+00,-7.0230369e-04,-7.3019625e-04,-7.0230369e-04,5.7496303e+00
2.0000000e+02,8.0940012e+04,5.7520585e+00,5.7519911e+00,-9.1113674e-04,-7.3024083e-04,-9.1113674e-04,5.7519378e+00,-7.0234496e-04,-7.3024083e-04,-7.0234496e-04,5.7522466e+00
2.0000000e+02,1.0000000e+05,5.7541831e+00,5.7541157e+00,-9.1117724e-04,-7.3027692e-04,-9.1117724e-04,5.7540624e+00,-7.0237837e-04,-7.3027692e-04,-7.0237837e-04,5.7543713e+00
2.5000000e+02,3.1622777e+00,7.4461227e-01,7.4460053e-01,-1.8176356e-04,-1.2871777e-04,-1.8176356e-04,7.4455244e-01,-1.3749415e-04,-1.2871777e-04,-1.3749415e-04,7.4468385e-01
2.5000000e+02,3.9069399e+00,8.6359265e-01,8.6357907e-01,-2.0864594e-04,-1.4918429e-04,-2.0864594e-04,8.6352816e-01,-1.5784628e-04,-1.4918429e-04,-1.5784628e-04,8.6367072e-01
2.5000000e+02,4.8269574e+00,9.9408852e-01,9.9407290e-01,-2.3762899e-04,-1.7153908e-04,-2.3762899e-04,9.9401966e-01,-1.7977457e-04,-1.7153908e-04,-1.7977457e-04,9.9417301e-01
2.5000000e+02,5.9636233e+00,1.1353977e+00,1.1353798e+00,-2.6846393e-04,-1.9562384e-04,-2.6846393e-04,1.1353248e+00,-2.0309036e-04,-1.9562384e-04,-2.0309036e-04,1.1354885e+00
2.5000000e+02,7.3679546e+00,1.2864143e+00,1.2863939e+00,-3.0082594e-04,-2.2120779e-04,-3.0082594e-04,1.2863376e+00,-2.2755337e-04,-2.2120779e-04,-2.2755337e-04,1.2865112e+00
2.5000000e+02,9.1029818e+00,1.4456487e+00,1.4456258e+00,-3.3432282e-04,-2.4799265e-04,-3.3432282e-04,1.4455687e+00,-2.5287976e-04,-2.4799265e-04,-2.5287976e-04,1.4457517e+00
2.5000000e+02,1.1246578e+01,1.6112796e+00,1.6112539e+00,-3.6850739e-04,-2.7562190e-04,-3.6850739e-04,1.6111965e+00,-2.7875140e-04,-2.7562190e-04,-2.7875140e-04,1.6113884e+00
2.5000000e+02,1.3894955e+01,1.7812357e+00,1.7812072e+00,-4.0289343e-04,-3.0369400e-04,-4.0289343e-04,1.7811498e+00,-3.0482559e-04,-3.0369400e-04,-3.0482559e-04,1.7813501e+00
2.5000000e+02,1.7166979e+01,1.9533039e+00,1.9532725e+00,-4.3697478e-04,-3.3177885e-04,-4.3697478e-04,1.9532156e+00,-3.3074540e-04,-3.3177885e-04,-3.3074540e-04,1.9534237e+00
2.5000000e+02,2.1209509e+01,2.1252554e+00,2.1252211e+00,-4.7024766e-04,-3.5943729e-04,-4.7024766e-04,2.1251648e+00,-3.5615126e-04,-3.5943729e-04,-3.5615126e-04,2.1253802e+00
2.5000000e+02,2.6203985e+01,2.2949763e+00,2.2949394e+00,-5.0223514e-04,-3.8624285e-04,-5.0223514e-04,2.2948838e+00,-3.8069465e-04,-3.8624285e-04,-3.8069465e-04,2.2951059e+00
2.5000000e+02,3.2374575e+01,2.4605914e+00,2.4605518e+00,-5.3251215e-04,-4.1180462e-04,-5.3251215e-04,2.4604971e+00,-4.0405421e-04,-4.1180462e-04,-4.0405421e-04,2.4607253e+00
2.5000000e+02,3.9998234e+01,2.6205630e+00,2.6205210e+00,-5.6072814e-04,-4.3578897e-04,-5.6072814e-04,2.6204672e+00,-4.2595257e-04,-4.3578897e-04,-4.2595257e-04,2.6207008e+00
2.5000000e+02,4.9417134e+01,2.7737555e+00,2.7737113e+00,-5.8662421e-04,-4.5793713e-04,-5.8662421e-04,2.7736583e+00,-4.4617173e-04,-4.5793713e-04,-4.4617173e-04,2.7738968e+00
2.5000000e+02,6.1054023e+01,2.9194567e+00,2.9194106e+00,-6.1004197e-04,-4.7807602e-04,-6.1004197e-04,2.9193584e+00,-4.6456379e-04,-4.7807602e-04,-4.6456379e-04,2.9196011e+00
2.5000000e+02,7.5431201e+01,3.0573565e+00,3.0573086e+00,-6.3092314e-04,-4.9612077e-04,-6.3092314e-04,3.0572572e+00,-4.8105515e-04,-4.9612077e-04,-4.8105515e-04,3.0575036e+00
2.5000000e+02,9.3193958e+01,3.1874871e+00,3.1874378e+00,-6.4930028e-04,-5.1206890e-04,-6.4930028e-04,3.1873870e+00,-4.9564332e-04,-5.1206890e-04,-4.9564332e-04,3.1876366e+00
2.5000000e+02,1.1513954e+02,3.3101373e+00,3.3100867e+00,-6.6528107e-04,-5.2598807e-04,-6.6528107e-04,3.3100365e+00,-5.0838759e-04,-5.2598807e-04,-5.0838759e-04,3.3102888e+00
2.5000000e+02,1.4225293e+02,3.4257517e+00,3.4256999e+00,-6.7902903e-04,-5.3799977e-04,-6.7902903e-04,3.4256502e+00,-5.1939568e-04,-5.3799977e-04,-5.1939568e-04,3.4259048e+00
2.5000000e+02,1.7575106e+02,3.5348295e+00,3.5347768e+00,-6.9074382e-04,-5.4826206e-04,-6.9074382e-04,3.5347276e+00,-5.2880875e-04,-5.4826206e-04,-5.2880875e-04,3.5349841e+00
2.5000000e+02,2.1713743e+02,3.6378354e+00,3.6377819e+00,-7.0064327e-04,-5.5695328e-04,-7.0064327e-04,3.6377330e+00,-5.3678706e-04,-5.5695328e-04,-5.3678706e-04,3.6379912e+00
2.5000000e+02,2.6826958e+02,3.7351303e+00,3.7350762e+00,-7.0894878e-04,-5.6425857e-04,-7.0894878e-04,3.7350276e+00,-5.4349780e-04,-5.6425857e-04,-5.4349780e-04,3.7352871e+00
2.5000000e+02,3.3144247e+02,3.8269311e+00,3.8268765e+00,-7.1587437e-04,-5.7035945e-04,-7.1587437e-04,3.8268282e+00,-5.4910554e-04,-5.7035945e-04,-5.4910554e-04,3.8270887e+00
2.5000000e+02,4.0949151e+02,3.9133008e+00,3.9132457e+00,-7.2161941e-04,-5.7542677e-04,-7.2161941e-04,3.9131976e+00,-5.5376566e-04,-5.7542677e-04,-5.5376566e-04,3.9134590e+00
2.5000000e+02,5.0591975e+02,3.9941685e+00,3.9941130e+00,-7.2636444e-04,-5.7961640e-04,-7.2636444e-04,3.9940651e+00,-5.5762030e-04,-5.7961640e-04,-5.5762030e-04,3.9943273e+00
2.5000000e+02,6.2505519e+02,4.0693729e+00,4.0693172e+00,-7.3026931e-04,-5.8306716e-04,-7.3026931e-04,4.0692694e+00,-5.6079629e-04,-5.8306716e-04,-5.6079629e-04,4.0695321e+00
2.5000000e+02,7.7224499e+02,4.1387197e+00,4.1386637e+00,-7.3347311e-04,-5.8590036e-04,-7.3347311e-04,4.1386161e+00,-5.6340469e-04,-5.8590036e-04,-5.6340469e-04,4.1388793e+00
2.5000000e+02,9.5409548e+02,4.2020406e+00,4.2019844e+00,-7.3609518e-04,-5.8822044e-04,-7.3609518e-04,4.2019369e+00,-5.6554123e-04,-5.8822044e-04,-5.6554123e-04,4.2022005e+00
2.5000000e+02,1.1787686e+03,4.2592442e+00,4.2591878e+00,-7.3823676e-04,-5.9011625e-04,-7.3823676e-04,4.2591403e+00,-5.6728741e-04,-5.9011625e-04,-5.6728741e-04,4.2594043e+00
2.5000000e+02,1.4563485e+03,4.3103496e+00,4.3102931e+00,-7.3998296e-04,-5.9166264e-04,-7.3998296e-04,4.3102457e+00,-5.6871200e-04,-5.9166264e-04,-5.6871200e-04,4.3105099e+00
2.5000000e+02,1.7992936e+03,4.3555012e+00,4.3554447e+00,-7.4140482e-04,-5.9292220e-04,-7.4140482e-04,4.3553973e+00,-5.6987250e-04,-5.9292220e-04,-5.6987250e-04,4.3556617e+00
2.5000000e+02,2.2229965e+03,4.3949640e+00,4.3949073e+00,-7.4256129e-04,-5.9394691e-04,-7.4256129e-04,4.3948600e+00,-5.7081674e-04,-5.9394691e-04,-5.7081674e-04,4.3951246e+00
