    0     0 
    2    32 
    4     1 
    6    33 
    8     2 
   10    34 
   12     3 
   14    35 
   16     4 
   18    36 
   20     5 
   22    37 
   24     6 
   26    38 
   28     7 
   30    39 
   32     8 
   34    40 
   36     9 
   38    41 
   40    10 
   42    42 
   44    11 
   46    43 
   48    12 
   50    44 
   52    13 
   54    45 
   56    14 
   58    46 
   60    15 
   62    47 
    1    16 
    3    48 
    5    17 
    7    49 
    9    18 
   11    50 
   13    19 
   15    51 
   17    20 
   19    52 
   21    21 
   23    53 
   25    22 
   27    54 
   29    23 
   31    55 
   33    24 
   35    56 
   37    25 
   39    57 
   41    26 
   43    58 
   45    27 
   47    59 
   49    28 
   51    60 
   53    29 
   55    61 
   57    30 
   59    62 
   61    31 
   63    63 
