# Temperature : 500
frequency,kcumu,kspec
-9.999999e-04,0.000000e+00,0.000000e+00
1.692280e+00,0.000000e+00,0.000000e+00
3.384560e+00,0.000000e+00,0.000000e+00
5.076840e+00,0.000000e+00,0.000000e+00
6.769120e+00,0.000000e+00,0.000000e+00
8.461400e+00,0.000000e+00,0.000000e+00
1.015368e+01,0.000000e+00,0.000000e+00
1.184596e+01,0.000000e+00,0.000000e+00
1.353824e+01,0.000000e+00,0.000000e+00
1.523052e+01,1.809674e-01,1.809674e-01
1.692280e+01,1.809674e-01,0.000000e+00
1.861508e+01,1.809674e-01,0.000000e+00
2.030736e+01,1.809674e-01,0.000000e+00
2.199964e+01,2.625290e-01,8.156162e-02
2.369192e+01,2.625290e-01,0.000000e+00
2.538420e+01,3.961209e-01,1.335918e-01
2.707648e+01,4.120478e-01,1.592692e-02
2.876876e+01,4.655779e-01,5.353012e-02
3.046104e+01,4.655779e-01,0.000000e+00
3.215332e+01,4.694348e-01,3.856877e-03
3.384560e+01,5.514542e-01,8.201944e-02
3.553788e+01,5.514542e-01,0.000000e+00
3.723016e+01,5.514542e-01,0.000000e+00
3.892244e+01,5.608194e-01,9.365175e-03
4.061472e+01,5.836832e-01,2.286376e-02
4.230700e+01,6.137142e-01,3.003107e-02
4.399928e+01,6.327383e-01,1.902406e-02
4.569156e+01,6.798187e-01,4.708038e-02
4.738384e+01,6.813137e-01,1.495043e-03
4.907612e+01,6.930309e-01,1.171715e-02
5.076840e+01,6.992358e-01,6.204970e-03
5.246068e+01,7.347854e-01,3.554958e-02
5.415296e+01,7.817588e-01,4.697334e-02
5.584524e+01,8.093757e-01,2.761697e-02
5.753752e+01,8.231972e-01,1.382150e-02
5.922980e+01,8.301565e-01,6.959229e-03
6.092208e+01,8.380219e-01,7.865431e-03
6.261436e+01,8.547819e-01,1.676001e-02
6.430664e+01,8.952471e-01,4.046517e-02
6.599892e+01,9.248197e-01,2.957261e-02
6.769120e+01,9.417543e-01,1.693458e-02
6.938348e+01,9.556594e-01,1.390511e-02
7.107576e+01,9.788172e-01,2.315786e-02
7.276804e+01,1.005501e+00,2.668337e-02
7.446032e+01,1.028136e+00,2.263516e-02
7.615260e+01,1.066914e+00,3.877869e-02
7.784488e+01,1.099925e+00,3.301093e-02
7.953716e+01,1.123067e+00,2.314185e-02
8.122944e+01,1.143125e+00,2.005821e-02
8.292172e+01,1.186200e+00,4.307477e-02
8.461400e+01,1.221921e+00,3.572094e-02
8.630628e+01,1.257100e+00,3.517839e-02
8.799856e+01,1.301782e+00,4.468199e-02
8.969084e+01,1.350985e+00,4.920306e-02
9.138312e+01,1.428980e+00,7.799591e-02
9.307540e+01,1.447673e+00,1.869286e-02
9.476768e+01,1.472217e+00,2.454339e-02
9.645996e+01,1.494602e+00,2.238520e-02
9.815224e+01,1.538206e+00,4.360381e-02
9.984452e+01,1.566951e+00,2.874571e-02
1.015368e+02,1.598672e+00,3.172015e-02
1.032291e+02,1.637411e+00,3.873946e-02
1.049214e+02,1.665824e+00,2.841299e-02
1.066136e+02,1.706160e+00,4.033545e-02
1.083059e+02,1.726773e+00,2.061375e-02
1.099982e+02,1.756971e+00,3.019753e-02
1.116905e+02,1.773891e+00,1.691971e-02
1.133828e+02,1.786230e+00,1.233909e-02
1.150750e+02,1.786329e+00,9.904191e-05
1.167673e+02,1.790483e+00,4.153887e-03
1.184596e+02,1.817177e+00,2.669402e-02
1.201519e+02,1.819046e+00,1.869477e-03
1.218442e+02,1.878990e+00,5.994413e-02
1.235364e+02,1.885145e+00,6.154600e-03
1.252287e+02,1.921353e+00,3.620792e-02
1.269210e+02,1.948278e+00,2.692564e-02
1.286133e+02,1.965475e+00,1.719624e-02
1.303056e+02,1.976830e+00,1.135519e-02
1.319978e+02,2.013783e+00,3.695314e-02
1.336901e+02,2.019735e+00,5.952263e-03
1.353824e+02,2.059600e+00,3.986437e-02
1.370747e+02,2.072300e+00,1.270002e-02
1.387670e+02,2.113228e+00,4.092864e-02
1.404592e+02,2.122934e+00,9.705548e-03
1.421515e+02,2.131346e+00,8.412620e-03
1.438438e+02,2.148306e+00,1.695990e-02
1.455361e+02,2.157319e+00,9.012840e-03
1.472284e+02,2.158929e+00,1.610025e-03
1.489206e+02,2.166253e+00,7.324011e-03
1.506129e+02,2.182528e+00,1.627509e-02
1.523052e+02,2.187633e+00,5.104340e-03
1.539975e+02,2.197556e+00,9.923060e-03
1.556898e+02,2.201955e+00,4.399231e-03
1.573820e+02,2.212481e+00,1.052596e-02
1.590743e+02,2.221068e+00,8.587403e-03
1.607666e+02,2.228401e+00,7.332660e-03
1.624589e+02,2.234920e+00,6.519523e-03
1.641512e+02,2.243079e+00,8.158230e-03
1.658434e+02,2.256294e+00,1.321584e-02
1.675357e+02,2.261811e+00,5.516789e-03
1.692280e+02,2.273145e+00,1.133355e-02
1.709203e+02,2.280585e+00,7.440347e-03
1.726126e+02,2.287829e+00,7.243442e-03
1.743048e+02,2.297785e+00,9.956414e-03
1.759971e+02,2.308282e+00,1.049734e-02
1.776894e+02,2.313694e+00,5.411979e-03
1.793817e+02,2.320830e+00,7.135448e-03
1.810740e+02,2.324994e+00,4.164131e-03
1.827662e+02,2.332475e+00,7.480965e-03
1.844585e+02,2.336195e+00,3.720584e-03
1.861508e+02,2.341404e+00,5.208994e-03
1.878431e+02,2.342439e+00,1.034902e-03
1.895354e+02,2.346227e+00,3.787811e-03
1.912276e+02,2.349469e+00,3.241822e-03
1.929199e+02,2.349914e+00,4.450682e-04
1.946122e+02,2.350333e+00,4.187514e-04
1.963045e+02,2.350548e+00,2.153358e-04
1.979968e+02,2.350548e+00,0.000000e+00
1.996890e+02,2.350548e+00,0.000000e+00
2.013813e+02,2.350548e+00,0.000000e+00
2.030736e+02,2.350548e+00,0.000000e+00
2.047659e+02,2.350548e+00,0.000000e+00
2.064582e+02,2.350548e+00,0.000000e+00
2.081504e+02,2.350548e+00,0.000000e+00
2.098427e+02,2.350548e+00,0.000000e+00
2.115350e+02,2.350548e+00,0.000000e+00
2.132273e+02,2.350548e+00,0.000000e+00
2.149196e+02,2.350548e+00,0.000000e+00
2.166118e+02,2.350548e+00,0.000000e+00
2.183041e+02,2.350548e+00,0.000000e+00
2.199964e+02,2.350548e+00,0.000000e+00
2.216887e+02,2.350548e+00,0.000000e+00
2.233810e+02,2.350548e+00,0.000000e+00
2.250732e+02,2.350548e+00,0.000000e+00
2.267655e+02,2.350548e+00,0.000000e+00
2.284578e+02,2.350548e+00,0.000000e+00
2.301501e+02,2.350548e+00,0.000000e+00
2.318424e+02,2.350548e+00,0.000000e+00
2.335346e+02,2.350548e+00,0.000000e+00
2.352269e+02,2.350548e+00,0.000000e+00
2.369192e+02,2.350548e+00,0.000000e+00
2.386115e+02,2.350548e+00,0.000000e+00
2.403038e+02,2.350548e+00,0.000000e+00
2.419960e+02,2.350548e+00,0.000000e+00
2.436883e+02,2.350548e+00,0.000000e+00
2.453806e+02,2.350548e+00,0.000000e+00
2.470729e+02,2.350548e+00,0.000000e+00
2.487652e+02,2.350548e+00,0.000000e+00
2.504574e+02,2.350548e+00,0.000000e+00
2.521497e+02,2.350548e+00,0.000000e+00
2.538420e+02,2.350548e+00,0.000000e+00
