# Temperature : 500
mfp,kcumu,kspec
-1.000000e-03,7.525177e-01,7.525177e-01
5.159213e+00,7.999314e-01,4.741372e-02
5.323496e+00,8.213604e-01,2.142901e-02
5.493010e+00,8.435778e-01,2.221738e-02
5.667922e+00,8.488588e-01,5.281013e-03
5.848404e+00,8.770574e-01,2.819860e-02
6.034633e+00,9.009904e-01,2.393295e-02
6.226791e+00,9.446286e-01,4.363822e-02
6.425069e+00,9.503195e-01,5.690870e-03
6.629660e+00,9.910026e-01,4.068313e-02
6.840766e+00,1.019856e+00,2.885307e-02
7.058594e+00,1.056587e+00,3.673082e-02
7.283358e+00,1.074474e+00,1.788765e-02
7.515280e+00,1.111669e+00,3.719507e-02
7.754586e+00,1.136090e+00,2.442125e-02
8.001513e+00,1.182217e+00,4.612668e-02
8.256302e+00,1.217137e+00,3.492005e-02
8.519204e+00,1.228290e+00,1.115277e-02
8.790478e+00,1.260177e+00,3.188741e-02
9.070390e+00,1.301290e+00,4.111287e-02
9.359216e+00,1.320193e+00,1.890270e-02
9.657238e+00,1.337358e+00,1.716510e-02
9.964750e+00,1.368896e+00,3.153842e-02
1.028205e+01,1.410948e+00,4.205173e-02
1.060946e+01,1.461305e+00,5.035721e-02
1.094729e+01,1.466691e+00,5.385512e-03
1.129589e+01,1.476078e+00,9.387470e-03
1.165558e+01,1.482792e+00,6.713611e-03
1.202672e+01,1.515430e+00,3.263756e-02
1.240968e+01,1.539623e+00,2.419378e-02
1.280484e+01,1.555006e+00,1.538302e-02
1.321258e+01,1.580540e+00,2.553403e-02
1.363330e+01,1.595959e+00,1.541823e-02
1.406742e+01,1.595959e+00,0.000000e+00
1.451537e+01,1.595959e+00,0.000000e+00
1.497758e+01,1.595959e+00,0.000000e+00
1.545450e+01,1.595959e+00,0.000000e+00
1.594661e+01,1.611719e+00,1.576062e-02
1.645440e+01,1.645579e+00,3.385966e-02
1.697835e+01,1.651777e+00,6.197660e-03
1.751898e+01,1.666573e+00,1.479639e-02
1.807683e+01,1.678025e+00,1.145155e-02
1.865245e+01,1.691509e+00,1.348402e-02
1.924639e+01,1.691509e+00,0.000000e+00
1.985925e+01,1.691509e+00,0.000000e+00
2.049162e+01,1.713099e+00,2.159085e-02
2.114413e+01,1.723640e+00,1.054053e-02
2.181741e+01,1.725998e+00,2.358458e-03
2.251213e+01,1.741925e+00,1.592692e-02
2.322898e+01,1.744482e+00,2.556820e-03
2.396865e+01,1.760568e+00,1.608555e-02
2.473188e+01,1.760568e+00,0.000000e+00
2.551941e+01,1.760568e+00,0.000000e+00
2.633201e+01,1.760568e+00,0.000000e+00
2.717049e+01,1.768010e+00,7.442073e-03
2.803567e+01,1.768010e+00,0.000000e+00
2.892840e+01,1.776120e+00,8.110357e-03
2.984956e+01,1.795101e+00,1.898115e-02
3.080005e+01,1.795101e+00,0.000000e+00
3.178080e+01,1.795101e+00,0.000000e+00
3.279279e+01,1.795101e+00,0.000000e+00
3.383700e+01,1.795101e+00,0.000000e+00
3.491446e+01,1.795101e+00,0.000000e+00
3.602623e+01,1.795101e+00,0.000000e+00
3.717340e+01,1.795101e+00,0.000000e+00
3.835710e+01,1.800205e+00,5.103786e-03
3.957849e+01,1.800205e+00,0.000000e+00
4.083877e+01,1.800205e+00,0.000000e+00
4.213919e+01,1.800205e+00,0.000000e+00
4.348101e+01,1.800205e+00,0.000000e+00
4.486556e+01,1.826358e+00,2.615299e-02
4.629420e+01,1.826358e+00,0.000000e+00
4.776833e+01,1.826358e+00,0.000000e+00
