# Temperature : 300
frequency,kcumu,kspec
-9.999999e-04,0.000000e+00,0.000000e+00
1.692280e+00,0.000000e+00,0.000000e+00
3.384560e+00,0.000000e+00,0.000000e+00
5.076840e+00,0.000000e+00,0.000000e+00
6.769120e+00,0.000000e+00,0.000000e+00
8.461400e+00,0.000000e+00,0.000000e+00
1.015368e+01,0.000000e+00,0.000000e+00
1.184596e+01,0.000000e+00,0.000000e+00
1.353824e+01,0.000000e+00,0.000000e+00
1.523052e+01,3.062072e-01,3.062072e-01
1.692280e+01,3.062072e-01,0.000000e+00
1.861508e+01,3.062072e-01,0.000000e+00
2.030736e+01,3.062072e-01,0.000000e+00
2.199964e+01,4.448597e-01,1.386525e-01
2.369192e+01,4.448597e-01,0.000000e+00
2.538420e+01,6.727811e-01,2.279214e-01
2.707648e+01,7.000018e-01,2.722074e-02
2.876876e+01,7.911203e-01,9.111851e-02
3.046104e+01,7.911203e-01,0.000000e+00
3.215332e+01,7.977243e-01,6.604003e-03
3.384560e+01,9.370545e-01,1.393302e-01
3.553788e+01,9.370545e-01,0.000000e+00
3.723016e+01,9.370545e-01,0.000000e+00
3.892244e+01,9.530569e-01,1.600234e-02
4.061472e+01,9.922447e-01,3.918779e-02
4.230700e+01,1.043092e+00,5.084758e-02
4.399928e+01,1.075580e+00,3.248735e-02
4.569156e+01,1.155624e+00,8.004458e-02
4.738384e+01,1.158182e+00,2.558031e-03
4.907612e+01,1.178184e+00,2.000131e-02
5.076840e+01,1.188785e+00,1.060158e-02
5.246068e+01,1.249053e+00,6.026828e-02
5.415296e+01,1.328729e+00,7.967578e-02
5.584524e+01,1.375655e+00,4.692630e-02
5.753752e+01,1.399243e+00,2.358741e-02
5.922980e+01,1.411092e+00,1.184951e-02
6.092208e+01,1.424482e+00,1.339009e-02
6.261436e+01,1.452816e+00,2.833333e-02
6.430664e+01,1.521160e+00,6.834419e-02
6.599892e+01,1.571380e+00,5.022046e-02
6.769120e+01,1.600076e+00,2.869542e-02
6.938348e+01,1.623566e+00,2.348976e-02
7.107576e+01,1.662714e+00,3.914869e-02
7.276804e+01,1.707549e+00,4.483426e-02
7.446032e+01,1.745650e+00,3.810164e-02
7.615260e+01,1.810808e+00,6.515793e-02
7.784488e+01,1.866038e+00,5.523012e-02
7.953716e+01,1.904743e+00,3.870465e-02
8.122944e+01,1.938249e+00,3.350660e-02
8.292172e+01,2.010202e+00,7.195288e-02
8.461400e+01,2.069784e+00,5.958193e-02
8.630628e+01,2.128546e+00,5.876183e-02
8.799856e+01,2.202603e+00,7.405706e-02
8.969084e+01,2.284359e+00,8.175568e-02
9.138312e+01,2.413409e+00,1.290501e-01
9.307540e+01,2.444472e+00,3.106278e-02
9.476768e+01,2.485201e+00,4.072961e-02
9.645996e+01,2.522143e+00,3.694135e-02
9.815224e+01,2.594409e+00,7.226637e-02
9.984452e+01,2.642230e+00,4.782060e-02
1.015368e+02,2.694836e+00,5.260656e-02
1.032291e+02,2.758740e+00,6.390422e-02
1.049214e+02,2.805134e+00,4.639372e-02
1.066136e+02,2.870015e+00,6.488045e-02
1.083059e+02,2.902837e+00,3.282236e-02
1.099982e+02,2.951888e+00,4.905131e-02
1.116905e+02,2.979544e+00,2.765536e-02
1.133828e+02,3.000055e+00,2.051147e-02
1.150750e+02,3.000220e+00,1.648977e-04
1.167673e+02,3.007106e+00,6.886256e-03
1.184596e+02,3.050766e+00,4.365962e-02
1.201519e+02,3.053841e+00,3.075230e-03
1.218442e+02,3.151732e+00,9.789036e-02
1.235364e+02,3.161840e+00,1.010851e-02
1.252287e+02,3.220586e+00,5.874589e-02
1.269210e+02,3.264242e+00,4.365637e-02
1.286133e+02,3.292087e+00,2.784501e-02
1.303056e+02,3.310435e+00,1.834796e-02
1.319978e+02,3.369762e+00,5.932672e-02
1.336901e+02,3.379345e+00,9.582882e-03
1.353824e+02,3.442638e+00,6.329336e-02
1.370747e+02,3.462588e+00,1.994991e-02
1.387670e+02,3.527784e+00,6.519588e-02
1.404592e+02,3.543324e+00,1.554041e-02
1.421515e+02,3.556959e+00,1.363501e-02
1.438438e+02,3.584135e+00,2.717515e-02
1.455361e+02,3.598693e+00,1.455845e-02
1.472284e+02,3.601301e+00,2.608272e-03
1.489206e+02,3.613253e+00,1.195207e-02
1.506129e+02,3.639520e+00,2.626634e-02
1.523052e+02,3.647837e+00,8.316949e-03
1.539975e+02,3.663910e+00,1.607323e-02
1.556898e+02,3.671058e+00,7.147911e-03
1.573820e+02,3.688018e+00,1.696043e-02
1.590743e+02,3.701868e+00,1.384966e-02
1.607666e+02,3.713705e+00,1.183673e-02
1.624589e+02,3.724214e+00,1.050984e-02
1.641512e+02,3.737308e+00,1.309401e-02
1.658434e+02,3.758537e+00,2.122811e-02
1.675357e+02,3.767370e+00,8.833081e-03
1.692280e+02,3.785429e+00,1.805895e-02
1.709203e+02,3.797272e+00,1.184365e-02
1.726126e+02,3.808820e+00,1.154766e-02
1.743048e+02,3.824685e+00,1.586514e-02
1.759971e+02,3.841384e+00,1.669906e-02
1.776894e+02,3.849985e+00,8.600972e-03
1.793817e+02,3.861310e+00,1.132488e-02
1.810740e+02,3.867908e+00,6.598136e-03
1.827662e+02,3.879750e+00,1.184187e-02
1.844585e+02,3.885635e+00,5.885380e-03
1.861508e+02,3.893866e+00,8.230513e-03
1.878431e+02,3.895500e+00,1.633750e-03
1.895354e+02,3.901476e+00,5.976412e-03
1.912276e+02,3.906587e+00,5.110975e-03
1.929199e+02,3.907288e+00,7.008937e-04
1.946122e+02,3.907947e+00,6.590889e-04
1.963045e+02,3.908286e+00,3.386335e-04
1.979968e+02,3.908286e+00,0.000000e+00
1.996890e+02,3.908286e+00,0.000000e+00
2.013813e+02,3.908286e+00,0.000000e+00
2.030736e+02,3.908286e+00,0.000000e+00
2.047659e+02,3.908286e+00,0.000000e+00
2.064582e+02,3.908286e+00,0.000000e+00
2.081504e+02,3.908286e+00,0.000000e+00
2.098427e+02,3.908286e+00,0.000000e+00
2.115350e+02,3.908286e+00,0.000000e+00
2.132273e+02,3.908286e+00,0.000000e+00
2.149196e+02,3.908286e+00,0.000000e+00
2.166118e+02,3.908286e+00,0.000000e+00
2.183041e+02,3.908286e+00,0.000000e+00
2.199964e+02,3.908286e+00,0.000000e+00
2.216887e+02,3.908286e+00,0.000000e+00
2.233810e+02,3.908286e+00,0.000000e+00
2.250732e+02,3.908286e+00,0.000000e+00
2.267655e+02,3.908286e+00,0.000000e+00
2.284578e+02,3.908286e+00,0.000000e+00
2.301501e+02,3.908286e+00,0.000000e+00
2.318424e+02,3.908286e+00,0.000000e+00
2.335346e+02,3.908286e+00,0.000000e+00
2.352269e+02,3.908286e+00,0.000000e+00
2.369192e+02,3.908286e+00,0.000000e+00
2.386115e+02,3.908286e+00,0.000000e+00
2.403038e+02,3.908286e+00,0.000000e+00
2.419960e+02,3.908286e+00,0.000000e+00
2.436883e+02,3.908286e+00,0.000000e+00
2.453806e+02,3.908286e+00,0.000000e+00
2.470729e+02,3.908286e+00,0.000000e+00
2.487652e+02,3.908286e+00,0.000000e+00
2.504574e+02,3.908286e+00,0.000000e+00
2.521497e+02,3.908286e+00,0.000000e+00
2.538420e+02,3.908286e+00,0.000000e+00
