# Temperature : 300
mfp,kcumu,kspec
-1.000000e-03,1.235694e+00,1.235694e+00
5.159213e+00,1.313208e+00,7.751319e-02
5.323496e+00,1.348669e+00,3.546101e-02
5.493010e+00,1.384959e+00,3.629040e-02
5.667922e+00,1.393683e+00,8.724164e-03
5.848404e+00,1.440236e+00,4.655325e-02
6.034633e+00,1.480058e+00,3.982186e-02
6.226791e+00,1.551656e+00,7.159785e-02
6.425069e+00,1.561163e+00,9.506992e-03
6.629660e+00,1.629043e+00,6.787959e-02
6.840766e+00,1.676915e+00,4.787173e-02
7.058594e+00,1.737718e+00,6.080374e-02
7.283358e+00,1.767763e+00,3.004425e-02
7.515280e+00,1.829962e+00,6.219945e-02
7.754586e+00,1.869593e+00,3.963150e-02
8.001513e+00,1.944867e+00,7.527340e-02
8.256302e+00,2.001309e+00,5.644169e-02
8.519204e+00,2.020142e+00,1.883359e-02
8.790478e+00,2.072002e+00,5.186004e-02
9.070390e+00,2.140718e+00,6.871536e-02
9.359216e+00,2.172322e+00,3.160397e-02
9.657238e+00,2.199925e+00,2.760396e-02
9.964750e+00,2.252073e+00,5.214717e-02
1.028205e+01,2.321572e+00,6.949918e-02
1.060946e+01,2.405309e+00,8.373766e-02
1.094729e+01,2.414481e+00,9.171524e-03
1.129589e+01,2.429906e+00,1.542457e-02
1.165558e+01,2.441123e+00,1.121706e-02
1.202672e+01,2.494312e+00,5.318898e-02
1.240968e+01,2.533876e+00,3.956472e-02
1.280484e+01,2.559384e+00,2.550747e-02
1.321258e+01,2.602954e+00,4.357024e-02
1.363330e+01,2.628113e+00,2.515876e-02
1.406742e+01,2.628113e+00,0.000000e+00
1.451537e+01,2.628113e+00,0.000000e+00
1.497758e+01,2.628113e+00,0.000000e+00
1.545450e+01,2.628113e+00,0.000000e+00
1.594661e+01,2.654625e+00,2.651270e-02
1.645440e+01,2.712330e+00,5.770422e-02
1.697835e+01,2.722304e+00,9.974429e-03
1.751898e+01,2.747612e+00,2.530798e-02
1.807683e+01,2.766941e+00,1.932843e-02
1.865245e+01,2.789571e+00,2.262997e-02
1.924639e+01,2.789571e+00,0.000000e+00
1.985925e+01,2.789571e+00,0.000000e+00
2.049162e+01,2.826395e+00,3.682429e-02
2.114413e+01,2.844192e+00,1.779697e-02
2.181741e+01,2.848178e+00,3.986300e-03
2.251213e+01,2.875399e+00,2.722074e-02
2.322898e+01,2.879723e+00,4.323864e-03
2.396865e+01,2.907177e+00,2.745476e-02
2.473188e+01,2.907177e+00,0.000000e+00
2.551941e+01,2.907177e+00,0.000000e+00
2.633201e+01,2.907177e+00,0.000000e+00
2.717049e+01,2.919891e+00,1.271312e-02
2.803567e+01,2.919891e+00,0.000000e+00
2.892840e+01,2.933752e+00,1.386150e-02
2.984956e+01,2.965783e+00,3.203134e-02
3.080005e+01,2.965783e+00,0.000000e+00
3.178080e+01,2.965783e+00,0.000000e+00
3.279279e+01,2.965783e+00,0.000000e+00
3.383700e+01,2.965783e+00,0.000000e+00
3.491446e+01,2.965783e+00,0.000000e+00
3.602623e+01,2.965783e+00,0.000000e+00
3.717340e+01,2.965783e+00,0.000000e+00
3.835710e+01,2.974441e+00,8.658034e-03
3.957849e+01,2.974441e+00,0.000000e+00
4.083877e+01,2.974441e+00,0.000000e+00
4.213919e+01,2.974441e+00,0.000000e+00
4.348101e+01,2.974441e+00,0.000000e+00
4.486556e+01,3.018699e+00,4.425753e-02
4.629420e+01,3.018699e+00,0.000000e+00
4.776833e+01,3.018699e+00,0.000000e+00
4.928940e+01,3.055176e+00,3.647659e-02
5.085890e+01,3.066466e+00,1.129079e-02
5.247838e+01,3.066466e+00,0.000000e+00
5.414943e+01,3.097365e+00,3.089875e-02
5.587369e+01,3.097365e+00,0.000000e+00
5.765286e+01,3.097365e+00,0.000000e+00
5.948868e+01,3.097365e+00,0.000000e+00
6.138296e+01,3.097365e+00,0.000000e+00
6.333755e+01,3.097365e+00,0.000000e+00
6.535439e+01,3.097365e+00,0.000000e+00
6.743544e+01,3.097365e+00,0.000000e+00
6.958277e+01,3.097365e+00,0.000000e+00
7.179847e+01,3.097365e+00,0.000000e+00
7.408472e+01,3.097365e+00,0.000000e+00
7.644377e+01,3.097365e+00,0.000000e+00
7.887794e+01,3.097365e+00,0.000000e+00
8.138963e+01,3.097365e+00,0.000000e+00
8.398129e+01,3.097365e+00,0.000000e+00
8.665547e+01,3.097365e+00,0.000000e+00
8.941481e+01,3.097365e+00,0.000000e+00
9.226202e+01,3.097365e+00,0.000000e+00
9.519988e+01,3.202962e+00,1.055968e-01
9.823130e+01,3.202962e+00,0.000000e+00
1.013592e+02,3.202962e+00,0.000000e+00
1.045868e+02,3.202962e+00,0.000000e+00
1.079171e+02,3.230620e+00,2.765784e-02
1.113535e+02,3.230620e+00,0.000000e+00
1.148993e+02,3.230620e+00,0.000000e+00
1.185580e+02,3.230620e+00,0.000000e+00
1.223332e+02,3.262079e+00,3.145947e-02
1.262286e+02,3.262079e+00,0.000000e+00
1.302480e+02,3.262079e+00,0.000000e+00
1.343955e+02,3.262079e+00,0.000000e+00
1.386750e+02,3.262079e+00,0.000000e+00
1.430907e+02,3.262079e+00,0.000000e+00
1.476471e+02,3.262079e+00,0.000000e+00
1.523486e+02,3.262079e+00,0.000000e+00
1.571998e+02,3.262079e+00,0.000000e+00
1.622055e+02,3.262079e+00,0.000000e+00
1.673705e+02,3.262079e+00,0.000000e+00
1.727000e+02,3.262079e+00,0.000000e+00
1.781992e+02,3.262079e+00,0.000000e+00
1.838736e+02,3.262079e+00,0.000000e+00
1.897286e+02,3.262079e+00,0.000000e+00
1.957701e+02,3.262079e+00,0.000000e+00
2.020039e+02,3.262079e+00,0.000000e+00
2.084362e+02,3.262079e+00,0.000000e+00
2.150734e+02,3.262079e+00,0.000000e+00
2.219219e+02,3.262079e+00,0.000000e+00
2.289885e+02,3.262079e+00,0.000000e+00
2.362801e+02,3.262079e+00,0.000000e+00
2.438039e+02,3.400732e+00,1.386525e-01
2.515672e+02,3.400732e+00,0.000000e+00
2.595778e+02,3.400732e+00,0.000000e+00
2.678434e+02,3.400732e+00,0.000000e+00
2.763723e+02,3.400732e+00,0.000000e+00
2.851727e+02,3.400732e+00,0.000000e+00
2.942534e+02,3.400732e+00,0.000000e+00
3.036232e+02,3.628653e+00,2.279214e-01
3.132913e+02,3.628653e+00,0.000000e+00
3.232674e+02,3.628653e+00,0.000000e+00
3.335610e+02,3.628653e+00,0.000000e+00
3.441825e+02,3.628653e+00,0.000000e+00
3.551422e+02,3.628653e+00,0.000000e+00
3.664509e+02,3.628653e+00,0.000000e+00
3.781196e+02,3.628653e+00,0.000000e+00
3.901599e+02,3.628653e+00,0.000000e+00
4.025837e+02,3.628653e+00,0.000000e+00
4.154030e+02,3.628653e+00,0.000000e+00
4.286305e+02,3.628653e+00,0.000000e+00
4.422793e+02,3.628653e+00,0.000000e+00
4.563626e+02,3.755645e+00,1.269923e-01
4.708944e+02,3.755645e+00,0.000000e+00
4.858889e+02,3.755645e+00,0.000000e+00
5.013609e+02,3.755645e+00,0.000000e+00
5.173256e+02,3.755645e+00,0.000000e+00
5.337986e+02,3.908286e+00,1.526403e-01
5.507961e+02,3.908286e+00,0.000000e+00
