# Temperature : 500
frequency,kcumu,kspec
-9.999999e-04,0.000000e+00,0.000000e+00
1.697067e+00,0.000000e+00,0.000000e+00
3.394133e+00,0.000000e+00,0.000000e+00
5.091200e+00,0.000000e+00,0.000000e+00
6.788267e+00,0.000000e+00,0.000000e+00
8.485333e+00,0.000000e+00,0.000000e+00
1.018240e+01,0.000000e+00,0.000000e+00
1.187947e+01,1.391906e-01,1.391906e-01
1.357653e+01,1.538278e-01,1.463726e-02
1.527360e+01,1.538278e-01,0.000000e+00
1.697067e+01,1.538278e-01,0.000000e+00
1.866773e+01,2.265399e-01,7.271202e-02
2.036480e+01,2.265399e-01,0.000000e+00
2.206187e+01,3.386209e-01,1.120811e-01
2.375893e+01,3.549144e-01,1.629345e-02
2.545600e+01,3.873285e-01,3.241415e-02
2.715307e+01,3.909044e-01,3.575909e-03
2.885013e+01,4.629271e-01,7.202272e-02
3.054720e+01,4.629271e-01,0.000000e+00
3.224427e+01,4.629271e-01,0.000000e+00
3.394133e+01,4.803828e-01,1.745567e-02
3.563840e+01,4.903361e-01,9.953278e-03
3.733547e+01,5.359205e-01,4.558437e-02
3.903253e+01,5.761188e-01,4.019835e-02
4.072960e+01,5.774923e-01,1.373469e-03
4.242667e+01,5.807679e-01,3.275586e-03
4.412373e+01,6.109346e-01,3.016670e-02
4.582080e+01,6.487334e-01,3.779883e-02
4.751787e+01,6.774101e-01,2.867669e-02
4.921493e+01,6.929473e-01,1.553722e-02
5.091200e+01,7.012271e-01,8.279789e-03
5.260907e+01,7.108660e-01,9.638867e-03
5.430613e+01,7.284454e-01,1.757940e-02
5.600320e+01,7.771207e-01,4.867531e-02
5.770027e+01,7.958636e-01,1.874296e-02
5.939733e+01,7.999455e-01,4.081817e-03
6.109440e+01,8.196750e-01,1.972955e-02
6.279147e+01,8.373760e-01,1.770098e-02
6.448853e+01,8.795356e-01,4.215961e-02
6.618560e+01,8.953676e-01,1.583202e-02
6.788267e+01,9.097310e-01,1.436341e-02
6.957973e+01,9.228380e-01,1.310699e-02
7.127680e+01,9.561922e-01,3.335420e-02
7.297387e+01,9.876584e-01,3.146620e-02
7.467093e+01,1.006075e+00,1.841666e-02
7.636800e+01,1.034079e+00,2.800380e-02
7.806507e+01,1.072069e+00,3.799003e-02
7.976213e+01,1.112596e+00,4.052692e-02
8.145920e+01,1.130832e+00,1.823626e-02
8.315627e+01,1.159367e+00,2.853448e-02
8.485333e+01,1.197702e+00,3.833551e-02
8.655040e+01,1.255811e+00,5.810841e-02
8.824747e+01,1.307506e+00,5.169583e-02
8.994453e+01,1.325475e+00,1.796899e-02
9.164160e+01,1.373687e+00,4.821190e-02
9.333867e+01,1.404566e+00,3.087878e-02
9.503573e+01,1.440527e+00,3.596092e-02
9.673280e+01,1.478870e+00,3.834342e-02
9.842987e+01,1.518884e+00,4.001400e-02
1.001269e+02,1.556555e+00,3.767062e-02
1.018240e+02,1.580170e+00,2.361483e-02
1.035211e+02,1.614604e+00,3.443442e-02
1.052181e+02,1.632903e+00,1.829835e-02
1.069152e+02,1.671556e+00,3.865353e-02
1.086123e+02,1.691317e+00,1.976136e-02
1.103093e+02,1.704111e+00,1.279359e-02
1.120064e+02,1.730489e+00,2.637755e-02
1.137035e+02,1.744253e+00,1.376487e-02
1.154005e+02,1.756611e+00,1.235718e-02
1.170976e+02,1.766857e+00,1.024677e-02
1.187947e+02,1.779707e+00,1.284942e-02
1.204917e+02,1.791231e+00,1.152462e-02
1.221888e+02,1.820550e+00,2.931824e-02
1.238859e+02,1.837364e+00,1.681415e-02
1.255829e+02,1.860406e+00,2.304235e-02
1.272800e+02,1.894960e+00,3.455349e-02
1.289771e+02,1.931473e+00,3.651311e-02
1.306741e+02,1.956000e+00,2.452740e-02
1.323712e+02,1.972925e+00,1.692453e-02
1.340683e+02,1.995226e+00,2.230127e-02
1.357653e+02,2.015209e+00,1.998268e-02
1.374624e+02,2.031283e+00,1.607406e-02
1.391595e+02,2.063541e+00,3.225821e-02
1.408565e+02,2.073053e+00,9.511869e-03
1.425536e+02,2.086646e+00,1.359363e-02
