# Temperature : 300
mfp,kcumu,kspec
-1.000000e-03,1.241443e+00,1.241443e+00
5.169483e+00,1.298567e+00,5.712443e-02
5.344710e+00,1.350829e+00,5.226112e-02
5.525877e+00,1.381581e+00,3.075290e-02
5.713186e+00,1.424584e+00,4.300254e-02
5.906843e+00,1.474928e+00,5.034376e-02
6.107064e+00,1.501737e+00,2.680893e-02
6.314073e+00,1.558799e+00,5.706269e-02
6.528098e+00,1.597978e+00,3.917880e-02
6.749378e+00,1.671524e+00,7.354568e-02
6.978158e+00,1.714785e+00,4.326133e-02
7.214694e+00,1.762601e+00,4.781576e-02
7.459247e+00,1.790196e+00,2.759507e-02
7.712089e+00,1.841357e+00,5.116134e-02
7.973502e+00,1.915778e+00,7.442083e-02
8.243777e+00,1.933674e+00,1.789631e-02
8.523212e+00,1.978754e+00,4.507921e-02
8.812119e+00,2.024249e+00,4.549543e-02
9.110820e+00,2.080663e+00,5.641346e-02
9.419645e+00,2.126355e+00,4.569228e-02
9.738938e+00,2.230856e+00,1.045015e-01
1.006905e+01,2.290133e+00,5.927666e-02
1.041036e+01,2.356783e+00,6.664958e-02
1.076324e+01,2.392618e+00,3.583576e-02
1.112807e+01,2.409951e+00,1.733214e-02
1.150528e+01,2.443993e+00,3.404250e-02
1.189526e+01,2.496570e+00,5.257714e-02
1.229847e+01,2.511444e+00,1.487429e-02
1.271535e+01,2.543191e+00,3.174698e-02
1.314635e+01,2.579543e+00,3.635204e-02
1.359197e+01,2.598157e+00,1.861403e-02
1.405269e+01,2.598157e+00,0.000000e+00
1.452903e+01,2.598157e+00,0.000000e+00
1.502151e+01,2.640331e+00,4.217332e-02
1.553069e+01,2.648762e+00,8.431217e-03
1.605713e+01,2.648762e+00,0.000000e+00
1.660141e+01,2.705678e+00,5.691637e-02
1.716414e+01,2.713694e+00,8.015832e-03
1.774594e+01,2.748891e+00,3.519719e-02
1.834747e+01,2.760433e+00,1.154199e-02
1.896938e+01,2.764446e+00,4.012225e-03
1.961238e+01,2.773123e+00,8.677384e-03
2.027717e+01,2.787651e+00,1.452818e-02
2.096450e+01,2.804673e+00,1.702146e-02
2.167512e+01,2.818551e+00,1.387844e-02
2.240983e+01,2.818551e+00,0.000000e+00
2.316945e+01,2.833828e+00,1.527723e-02
2.395481e+01,2.833828e+00,0.000000e+00
2.476680e+01,2.852842e+00,1.901367e-02
2.560631e+01,2.875465e+00,2.262304e-02
2.647427e+01,2.875465e+00,0.000000e+00
2.737166e+01,2.903000e+00,2.753528e-02
2.829946e+01,2.912544e+00,9.543196e-03
2.925872e+01,2.912544e+00,0.000000e+00
3.025049e+01,2.912544e+00,0.000000e+00
3.127587e+01,2.935919e+00,2.337518e-02
3.233602e+01,2.953776e+00,1.785741e-02
3.343209e+01,2.953776e+00,0.000000e+00
3.456533e+01,2.953776e+00,0.000000e+00
3.573697e+01,2.958395e+00,4.619396e-03
3.694833e+01,2.984831e+00,2.643527e-02
3.820075e+01,2.984831e+00,0.000000e+00
3.949562e+01,2.984831e+00,0.000000e+00
4.083439e+01,2.996729e+00,1.189784e-02
4.221853e+01,3.002158e+00,5.429846e-03
4.364960e+01,3.002158e+00,0.000000e+00
4.512917e+01,3.046033e+00,4.387416e-02
4.665889e+01,3.046033e+00,0.000000e+00
4.824046e+01,3.046033e+00,0.000000e+00
4.987565e+01,3.046033e+00,0.000000e+00
5.156626e+01,3.046033e+00,0.000000e+00
5.331418e+01,3.046033e+00,0.000000e+00
5.512134e+01,3.046033e+00,0.000000e+00
5.698977e+01,3.046033e+00,0.000000e+00
5.892152e+01,3.083266e+00,3.723301e-02
6.091876e+01,3.083266e+00,0.000000e+00
6.298369e+01,3.092726e+00,9.460563e-03
6.511862e+01,3.122590e+00,2.986427e-02
6.732592e+01,3.122590e+00,0.000000e+00
6.960803e+01,3.122590e+00,0.000000e+00
7.196750e+01,3.122590e+00,0.000000e+00
7.440695e+01,3.159839e+00,3.724815e-02
7.692909e+01,3.159839e+00,0.000000e+00
7.953672e+01,3.159839e+00,0.000000e+00
8.223274e+01,3.159839e+00,0.000000e+00
8.502014e+01,3.159839e+00,0.000000e+00
8.790203e+01,3.159839e+00,0.000000e+00
9.088161e+01,3.159839e+00,0.000000e+00
9.396218e+01,3.159839e+00,0.000000e+00
9.714717e+01,3.159839e+00,0.000000e+00
1.004401e+02,3.159839e+00,0.000000e+00
1.038447e+02,3.159839e+00,0.000000e+00
1.073647e+02,3.159839e+00,0.000000e+00
1.110040e+02,3.159839e+00,0.000000e+00
1.147666e+02,3.159839e+00,0.000000e+00
1.186568e+02,3.159839e+00,0.000000e+00
1.226789e+02,3.159839e+00,0.000000e+00
1.268372e+02,3.159839e+00,0.000000e+00
1.311366e+02,3.159839e+00,0.000000e+00
1.355817e+02,3.252534e+00,9.269542e-02
1.401774e+02,3.252534e+00,0.000000e+00
1.449289e+02,3.252534e+00,0.000000e+00
1.498415e+02,3.252534e+00,0.000000e+00
1.549206e+02,3.252534e+00,0.000000e+00
1.601719e+02,3.252534e+00,0.000000e+00
1.656012e+02,3.307603e+00,5.506922e-02
1.712145e+02,3.307603e+00,0.000000e+00
