# Temperature : 300
frequency,kcumu,kspec
-9.999999e-04,0.000000e+00,0.000000e+00
1.697067e+00,0.000000e+00,0.000000e+00
3.394133e+00,0.000000e+00,0.000000e+00
5.091200e+00,0.000000e+00,0.000000e+00
6.788267e+00,0.000000e+00,0.000000e+00
8.485333e+00,0.000000e+00,0.000000e+00
1.018240e+01,0.000000e+00,0.000000e+00
1.187947e+01,2.353448e-01,2.353448e-01
1.357653e+01,2.603671e-01,2.502230e-02
1.527360e+01,2.603671e-01,0.000000e+00
1.697067e+01,2.603671e-01,0.000000e+00
1.866773e+01,3.835882e-01,1.232211e-01
2.036480e+01,3.835882e-01,0.000000e+00
2.206187e+01,5.749669e-01,1.913786e-01
2.375893e+01,6.028619e-01,2.789500e-02
2.545600e+01,6.579311e-01,5.506922e-02
2.715307e+01,6.640533e-01,6.122194e-03
2.885013e+01,7.864416e-01,1.223883e-01
3.054720e+01,7.864416e-01,0.000000e+00
3.224427e+01,7.864416e-01,0.000000e+00
3.394133e+01,8.162795e-01,2.983789e-02
3.563840e+01,8.333009e-01,1.702146e-02
3.733547e+01,9.108045e-01,7.750362e-02
3.903253e+01,9.791989e-01,6.839433e-02
4.072960e+01,9.815506e-01,2.351746e-03
4.242667e+01,9.871562e-01,5.605600e-03
4.412373e+01,1.038499e+00,5.134289e-02
4.582080e+01,1.102775e+00,6.427541e-02
4.751787e+01,1.151668e+00,4.889357e-02
4.921493e+01,1.178039e+00,2.637123e-02
5.091200e+01,1.192197e+00,1.415753e-02
5.260907e+01,1.208631e+00,1.643425e-02
5.430613e+01,1.238449e+00,2.981788e-02
5.600320e+01,1.321100e+00,8.265063e-02
5.770027e+01,1.352958e+00,3.185828e-02
5.939733e+01,1.359915e+00,6.957228e-03
6.109440e+01,1.393468e+00,3.355258e-02
6.279147e+01,1.423346e+00,2.987857e-02
6.448853e+01,1.494738e+00,7.139220e-02
6.618560e+01,1.521612e+00,2.687349e-02
6.788267e+01,1.545934e+00,2.432221e-02
6.957973e+01,1.568072e+00,2.213815e-02
7.127680e+01,1.624242e+00,5.617008e-02
7.297387e+01,1.677326e+00,5.308329e-02
7.467093e+01,1.708333e+00,3.100768e-02
7.636800e+01,1.755288e+00,4.695457e-02
7.806507e+01,1.818930e+00,6.364225e-02
7.976213e+01,1.886714e+00,6.778369e-02
8.145920e+01,1.917257e+00,3.054354e-02
8.315627e+01,1.964762e+00,4.750425e-02
8.485333e+01,2.028812e+00,6.405072e-02
8.655040e+01,2.125430e+00,9.661745e-02
8.824747e+01,2.211305e+00,8.587545e-02
8.994453e+01,2.241164e+00,2.985914e-02
9.164160e+01,2.321244e+00,8.007948e-02
9.333867e+01,2.372551e+00,5.130674e-02
9.503573e+01,2.432159e+00,5.960841e-02
9.673280e+01,2.495610e+00,6.345083e-02
9.842987e+01,2.561504e+00,6.589417e-02
1.001269e+02,2.623989e+00,6.248490e-02
1.018240e+02,2.663047e+00,3.905830e-02
1.035211e+02,2.719592e+00,5.654435e-02
1.052181e+02,2.749505e+00,2.991387e-02
1.069152e+02,2.811991e+00,6.248582e-02
1.086123e+02,2.843682e+00,3.169085e-02
1.103093e+02,2.864513e+00,2.083112e-02
1.120064e+02,2.908097e+00,4.358364e-02
1.137035e+02,2.930960e+00,2.286342e-02
1.154005e+02,2.951335e+00,2.037464e-02
1.170976e+02,2.968171e+00,1.683621e-02
1.187947e+02,2.989280e+00,2.110925e-02
1.204917e+02,3.008228e+00,1.894771e-02
1.221888e+02,3.056148e+00,4.791952e-02
1.238859e+02,3.083582e+00,2.743402e-02
1.255829e+02,3.121078e+00,3.749666e-02
1.272800e+02,3.177097e+00,5.601827e-02
1.289771e+02,3.236034e+00,5.893776e-02
1.306741e+02,3.275487e+00,3.945286e-02
1.323712e+02,3.302555e+00,2.706815e-02
1.340683e+02,3.338290e+00,3.573416e-02
1.357653e+02,3.370038e+00,3.174886e-02
1.374624e+02,3.395513e+00,2.547497e-02
1.391595e+02,3.446867e+00,5.135319e-02
1.408565e+02,3.462097e+00,1.523014e-02
1.425536e+02,3.484055e+00,2.195824e-02
