# Created by auto-kappa
# 3ph scattering  : ./mp-22862/cube/kappa_fd_20x20x20/NaCl.result
# Isotope      : ./mp-22862/cube/kappa_fd_20x20x20/NaCl.self_isotope
# Temperature [K] : 50.00 to 1000.00
# Grain size [nm] : 3.16 to 100000.00
temperature[K],grain_size[nm],kxx[W/mK],kxy[W/mK],kxz[W/mK],kyx[W/mK],kyy[W/mK],kyz[W/mK],kzx[W/mK],kzy[W/mK],kzz[W/mK],kave[W/mK]
5.0000000e+01,9.3193958e+01,6.9577385e+00,-1.3625319e-03,-1.4167187e-03,-1.3625319e-03,6.9577378e+00,-1.4083702e-03,-1.4167187e-03,-1.4083702e-03,6.9576988e+00,6.9577250e+00
5.0000000e+01,1.1513954e+02,7.8116973e+00,-1.5175512e-03,-1.5740047e-03,-1.5175512e-03,7.8116965e+00,-1.5650304e-03,-1.5740047e-03,-1.5650304e-03,7.8116560e+00,7.8116833e+00
5.0000000e+01,1.4225293e+02,8.7050921e+00,-1.6767304e-03,-1.7351643e-03,-1.6767304e-03,8.7050912e+00,-1.7256104e-03,-1.7351643e-03,-1.7256104e-03,8.7050494e+00,8.7050776e+00
5.0000000e+01,1.7575106e+02,9.6295227e+00,-1.8375567e-03,-1.8976992e-03,-1.8375567e-03,9.6295217e+00,-1.8876182e-03,-1.8976992e-03,-1.8876182e-03,9.6294788e+00,9.6295077e+00
5.0000000e+01,2.1713743e+02,1.0576168e+01,-1.9972649e-03,-2.0588656e-03,-1.9972649e-03,1.0576167e+01,-2.0483132e-03,-2.0588656e-03,-2.0483132e-03,1.0576123e+01,1.0576152e+01
5.0000000e+01,2.6826958e+02,1.1536214e+01,-2.1530205e-03,-2.2158542e-03,-2.1530205e-03,1.1536213e+01,-2.2048867e-03,-2.2158542e-03,-2.2048867e-03,1.1536168e+01,1.1536199e+01
5.0000000e+01,3.3144247e+02,1.2501239e+01,-2.3021370e-03,-2.3660053e-03,-2.3021370e-03,1.2501238e+01,-2.3546769e-03,-2.3660053e-03,-2.3546769e-03,1.2501193e+01,1.2501223e+01
5.0000000e+01,4.0949151e+02,1.3463511e+01,-2.4422854e-03,-2.5070163e-03,-2.4422854e-03,1.3463510e+01,-2.4953777e-03,-2.5070163e-03,-2.4953777e-03,1.3463464e+01,1.3463495e+01
5.0000000e+01,5.0591975e+02,1.4416205e+01,-2.5716592e-03,-2.6371051e-03,-2.5716592e-03,1.4416203e+01,-2.6252028e-03,-2.6371051e-03,-2.6252028e-03,1.4416157e+01,1.4416188e+01
5.0000000e+01,6.2505519e+02,1.5353537e+01,-2.6890642e-03,-2.7551005e-03,-2.6890642e-03,1.5353536e+01,-2.7429756e-03,-2.7551005e-03,-2.7429756e-03,1.5353489e+01,1.5353521e+01
5.0000000e+01,7.7224499e+02,1.6270834e+01,-2.7939303e-03,-2.8604521e-03,-2.7939303e-03,1.6270832e+01,-2.8481408e-03,-2.8604521e-03,-2.8481408e-03,1.6270785e+01,1.6270817e+01
5.0000000e+01,9.5409548e+02,1.7164540e+01,-2.8862527e-03,-2.9531727e-03,-2.8862527e-03,1.7164538e+01,-2.9407062e-03,-2.9531727e-03,-2.9407062e-03,1.7164491e+01,1.7164523e+01
5.0000000e+01,1.1787686e+03,1.8032195e+01,-2.9664884e-03,-3.0337340e-03,-2.9664884e-03,1.8032193e+01,-3.0211390e-03,-3.0337340e-03,-3.0211390e-03,1.8032145e+01,1.8032178e+01
5.0000000e+01,1.4563485e+03,1.8872356e+01,-3.0354311e-03,-3.1029426e-03,-3.0354311e-03,1.8872354e+01,-3.0902416e-03,-3.1029426e-03,-3.0902416e-03,1.8872306e+01,1.8872339e+01
5.0000000e+01,1.7992936e+03,1.9684478e+01,-3.0940886e-03,-3.1618168e-03,-3.0940886e-03,1.9684477e+01,-3.1490286e-03,-3.1618168e-03,-3.1490286e-03,1.9684428e+01,1.9684461e+01
5.0000000e+01,2.2229965e+03,2.0468730e+01,-3.1435745e-03,-3.2114791e-03,-3.1435745e-03,2.0468728e+01,-3.1986195e-03,-3.2114791e-03,-3.1986195e-03,2.0468679e+01,2.0468712e+01
5.0000000e+01,2.7464741e+03,2.1225747e+01,-3.1850239e-03,-3.2530719e-03,-3.1850239e-03,2.1225745e+01,-3.2401540e-03,-3.2530719e-03,-3.2401540e-03,2.1225697e+01,2.1225730e+01
5.0000000e+01,3.3932218e+03,2.1956338e+01,-3.2195326e-03,-3.2876971e-03,-3.2195326e-03,2.1956336e+01,-3.2747315e-03,-3.2876971e-03,-3.2747315e-03,2.1956287e+01,2.1956320e+01
5.0000000e+01,4.1922674e+03,2.2661156e+01,-3.2481178e-03,-3.3163769e-03,-3.2481178e-03,2.2661155e+01,-3.3033725e-03,-3.3163769e-03,-3.3033725e-03,2.2661106e+01,2.2661139e+01
5.0000000e+01,5.1794747e+03,2.3340389e+01,-3.2716972e-03,-3.3400330e-03,-3.2716972e-03,2.3340387e+01,-3.3269970e-03,-3.3400330e-03,-3.3269970e-03,2.3340338e+01,2.3340371e+01
5.0000000e+01,6.3991523e+03,2.3993509e+01,-3.2910799e-03,-3.3594779e-03,-3.2910799e-03,2.3993507e+01,-3.3464162e-03,-3.3594779e-03,-3.3464162e-03,2.3993458e+01,2.3993491e+01
5.0000000e+01,7.9060432e+03,2.4619142e+01,-3.3069674e-03,-3.3754159e-03,-3.3069674e-03,2.4619141e+01,-3.3623333e-03,-3.3754159e-03,-3.3623333e-03,2.4619092e+01,2.4619125e+01
5.0000000e+01,9.7677811e+03,2.5215095e+01,-3.3199595e-03,-3.3884489e-03,-3.3199595e-03,2.5215094e+01,-3.3753493e-03,-3.3884489e-03,-3.3753493e-03,2.5215045e+01,2.5215078e+01
5.0000000e+01,1.2067926e+04,2.5778542e+01,-3.3305634e-03,-3.3990860e-03,-3.3305634e-03,2.5778540e+01,-3.3859727e-03,-3.3990860e-03,-3.3859727e-03,2.5778491e+01,2.5778524e+01
5.0000000e+01,1.4909717e+04,2.6306361e+01,-3.3392047e-03,-3.4077541e-03,-3.3392047e-03,2.6306360e+01,-3.3946296e-03,-3.4077541e-03,-3.3946296e-03,2.6306311e+01,2.6306344e+01
5.0000000e+01,1.8420700e+04,2.6795556e+01,-3.3462376e-03,-3.4148087e-03,-3.3462376e-03,2.6795555e+01,-3.4016752e-03,-3.4148087e-03,-3.4016752e-03,2.6795505e+01,2.6795539e+01
5.0000000e+01,2.2758459e+04,2.7243674e+01,-3.3519555e-03,-3.4205443e-03,-3.3519555e-03,2.7243673e+01,-3.4074034e-03,-3.4205443e-03,-3.4074034e-03,2.7243623e+01,2.7243657e+01
5.0000000e+01,2.8117687e+04,2.7649152e+01,-3.3566004e-03,-3.4252034e-03,-3.3566004e-03,2.7649151e+01,-3.4120566e-03,-3.4252034e-03,-3.4120566e-03,2.7649102e+01,2.7649135e+01
5.0000000e+01,3.4738921e+04,2.8011526e+01,-3.3603710e-03,-3.4289856e-03,-3.3603710e-03,2.8011525e+01,-3.4158340e-03,-3.4289856e-03,-3.4158340e-03,2.8011475e+01,2.8011509e+01
5.0000000e+01,4.2919343e+04,2.8331479e+01,-3.3634303e-03,-3.4320541e-03,-3.3634303e-03,2.8331477e+01,-3.4188987e-03,-3.4320541e-03,-3.4188987e-03,2.8331428e+01,2.8331461e+01
5.0000000e+01,5.3026113e+04,2.8610746e+01,-3.3659112e-03,-3.4345426e-03,-3.3659112e-03,2.8610744e+01,-3.4213840e-03,-3.4345426e-03,-3.4213840e-03,2.8610695e+01,2.8610728e+01
5.0000000e+01,6.5512856e+04,2.8851920e+01,-3.3679224e-03,-3.4365599e-03,-3.3679224e-03,2.8851918e+01,-3.4233988e-03,-3.4365599e-03,-3.4233988e-03,2.8851869e+01,2.8851902e+01
5.0000000e+01,8.0940012e+04,2.9058197e+01,-3.3695523e-03,-3.4381948e-03,-3.3695523e-03,2.9058195e+01,-3.4250316e-03,-3.4381948e-03,-3.4250316e-03,2.9058146e+01,2.9058179e+01
5.0000000e+01,1.0000000e+05,2.9233117e+01,-3.3708729e-03,-3.4395195e-03,-3.3708729e-03,2.9233116e+01,-3.4263546e-03,-3.4395195e-03,-3.4263546e-03,2.9233066e+01,2.9233100e+01
1.0000000e+02,3.1622777e+00,7.5851769e-01,-1.9191187e-04,-2.0668484e-04,-1.9191187e-04,7.5851450e-01,-2.0518718e-04,-2.0668484e-04,-2.0518718e-04,7.5849119e-01,7.5850779e-01
1.0000000e+02,3.9069399e+00,9.0769469e-01,-2.2921909e-04,-2.4648308e-04,-2.2921909e-04,9.0769099e-01,-2.4467483e-04,-2.4648308e-04,-2.4467483e-04,9.0766436e-01,9.0768334e-01
1.0000000e+02,4.8269574e+00,1.0807635e+00,-2.7234835e-04,-2.9236525e-04,-2.7234835e-04,1.0807593e+00,-2.9019293e-04,-2.9236525e-04,-2.9019293e-04,1.0807291e+00,1.0807506e+00
1.0000000e+02,5.9636233e+00,1.2797420e+00,-3.2175302e-04,-3.4476202e-04,-3.2175302e-04,1.2797371e+00,-3.4216767e-04,-3.4476202e-04,-3.4216767e-04,1.2797035e+00,1.2797275e+00
1.0000000e+02,7.3679546e+00,1.5062768e+00,-3.7780184e-04,-4.0400439e-04,-3.7780184e-04,1.5062713e+00,-4.0092717e-04,-4.0400439e-04,-4.0092717e-04,1.5062340e+00,1.5062607e+00
1.0000000e+02,9.1029818e+00,1.7614810e+00,-4.4075225e-04,-4.7029762e-04,-4.4075225e-04,1.7614748e+00,-4.6667613e-04,-4.7029762e-04,-4.6667613e-04,1.7614341e+00,1.7614633e+00
1.0000000e+02,1.1246578e+01,2.0457736e+00,-5.1072570e-04,-5.4369905e-04,-5.1072570e-04,2.0457666e+00,-5.3947429e-04,-5.4369905e-04,-5.3947429e-04,2.0457225e+00,2.0457543e+00
1.0000000e+02,1.3894955e+01,2.3587361e+00,-5.8768471e-04,-6.2409936e-04,-5.8768471e-04,2.3587283e+00,-6.1921833e-04,-6.2409936e-04,-6.1921833e-04,2.3586810e+00,2.3587151e+00
1.0000000e+02,1.7166979e+01,2.6990081e+00,-6.7140991e-04,-7.1120538e-04,-6.7140991e-04,2.6989995e+00,-7.0562470e-04,-7.1120538e-04,-7.0562470e-04,2.6989492e+00,2.6989856e+00
1.0000000e+02,2.1209509e+01,3.0642400e+00,-7.6147529e-04,-8.0452137e-04,-7.6147529e-04,3.0642305e+00,-7.9821064e-04,-8.0452137e-04,-7.9821064e-04,3.0641775e+00,3.0642160e+00
1.0000000e+02,2.6203985e+01,3.4511187e+00,-8.5722154e-04,-9.0332790e-04,-8.5722154e-04,3.4511082e+00,-8.9627226e-04,-9.0332790e-04,-8.9627226e-04,3.4510529e+00,3.4510933e+00
1.0000000e+02,3.2374575e+01,3.8554760e+00,-9.5773133e-04,-1.0066613e-03,-9.5773133e-04,3.8554646e+00,-9.9886266e-04,-1.0066613e-03,-9.9886266e-04,3.8554070e+00,3.8554492e+00
1.0000000e+02,3.9998234e+01,4.2724755e+00,-1.0618157e-03,-1.1133023e-03,-1.0618157e-03,4.2724632e+00,-1.1047790e-03,-1.1133023e-03,-1.1047790e-03,4.2724038e+00,4.2724475e+00
1.0000000e+02,4.9417134e+01,4.6968664e+00,-1.1680240e-03,-1.2217856e-03,-1.1680240e-03,4.6968531e+00,-1.2125710e-03,-1.2217856e-03,-1.2125710e-03,4.6967920e+00,4.6968372e+00
1.0000000e+02,6.1054023e+01,5.1232768e+00,-1.2746897e-03,-1.3304444e-03,-1.2746897e-03,5.1232627e+00,-1.3205837e-03,-1.3304444e-03,-1.3205837e-03,5.1232002e+00,5.1232466e+00
1.0000000e+02,7.5431201e+01,5.5465188e+00,-1.3800157e-03,-1.4374927e-03,-1.3800157e-03,5.5465039e+00,-1.4270401e-03,-1.4374927e-03,-1.4270401e-03,5.5464401e+00,5.5464876e+00
1.0000000e+02,9.3193958e+01,5.9618684e+00,-1.4821951e-03,-1.5411429e-03,-1.4821951e-03,5.9618528e+00,-1.5301573e-03,-1.5411429e-03,-1.5301573e-03,5.9617878e+00,5.9618363e+00
1.0000000e+02,1.1513954e+02,6.3652930e+00,-1.5795471e-03,-1.6397383e-03,-1.5795471e-03,6.3652768e+00,-1.6282806e-03,-1.6397383e-03,-1.6282806e-03,6.3652109e+00,6.3652602e+00
1.0000000e+02,1.4225293e+02,6.7536056e+00,-1.6706454e-03,-1.7318789e-03,-1.6706454e-03,6.7535888e+00,-1.7200088e-03,-1.7318789e-03,-1.7200088e-03,6.7535220e+00,6.7535721e+00
1.0000000e+02,1.7575106e+02,7.1245356e+00,-1.7544130e-03,-1.8165143e-03,-1.7544130e-03,7.1245183e+00,-1.8042883e-03,-1.8165143e-03,-1.8042883e-03,7.1244508e+00,7.1245016e+00
1.0000000e+02,2.1713743e+02,7.4767232e+00,-1.8301711e-03,-1.8929907e-03,-1.8301711e-03,7.4767055e+00,-1.8804610e-03,-1.8929907e-03,-1.8804610e-03,7.4766374e+00,7.4766887e+00
1.0000000e+02,2.6826958e+02,7.8096482e+00,-1.8976372e-03,-1.9610488e-03,-1.8976372e-03,7.8096301e+00,-1.9482621e-03,-1.9610488e-03,-1.9482621e-03,7.8095615e+00,7.8096132e+00
1.0000000e+02,3.3144247e+02,8.1235115e+00,-1.9568820e-03,-2.0207796e-03,-1.9568820e-03,8.1234931e+00,-2.0077772e-03,-2.0207796e-03,-2.0077772e-03,8.1234241e+00,8.1234763e+00
1.0000000e+02,4.0949151e+02,8.4190890e+00,-2.0082590e-03,-2.0725546e-03,-2.0082590e-03,8.4190703e+00,-2.0593722e-03,-2.0725546e-03,-2.0593722e-03,8.4190010e+00,8.4190534e+00
1.0000000e+02,5.0591975e+02,8.6975695e+00,-2.0523246e-03,-2.1169452e-03,-2.0523246e-03,8.6975507e+00,-2.1036136e-03,-2.1169452e-03,-2.1036136e-03,8.6974810e+00,8.6975337e+00
1.0000000e+02,6.2505519e+02,8.9603910e+00,-2.0897596e-03,-2.1546451e-03,-2.0897596e-03,8.9603719e+00,-2.1411903e-03,-2.1546451e-03,-2.1411903e-03,8.9603020e+00,8.9603550e+00
1.0000000e+02,7.7224499e+02,9.2090799e+00,-2.1213018e-03,-2.1864031e-03,-2.1213018e-03,9.2090607e+00,-2.1728469e-03,-2.1864031e-03,-2.1728469e-03,9.2089906e+00,9.2090437e+00
1.0000000e+02,9.5409548e+02,9.4451026e+00,-2.1476946e-03,-2.2129713e-03,-2.1476946e-03,9.4450833e+00,-2.1993319e-03,-2.2129713e-03,-2.1993319e-03,9.4450130e+00,9.4450663e+00
1.0000000e+02,1.1787686e+03,9.6697337e+00,-2.1696496e-03,-2.2350688e-03,-2.1696496e-03,9.6697143e+00,-2.2213613e-03,-2.2350688e-03,-2.2213613e-03,9.6696439e+00,9.6696973e+00
1.0000000e+02,1.4563485e+03,9.8839497e+00,-2.1878238e-03,-2.2533587e-03,-2.1878238e-03,9.8839302e+00,-2.2395956e-03,-2.2533587e-03,-2.2395956e-03,9.8838597e+00,9.8839132e+00
1.0000000e+02,1.7992936e+03,1.0088358e+01,-2.2028072e-03,-2.2684360e-03,-2.2028072e-03,1.0088339e+01,-2.2546275e-03,-2.2684360e-03,-2.2546275e-03,1.0088268e+01,1.0088322e+01
1.0000000e+02,2.2229965e+03,1.0283169e+01,-2.2151184e-03,-2.2808234e-03,-2.2151184e-03,1.0283150e+01,-2.2669780e-03,-2.2808234e-03,-2.2669780e-03,1.0283079e+01,1.0283133e+01
1.0000000e+02,2.7464741e+03,1.0468217e+01,-2.2252061e-03,-2.2909728e-03,-2.2252061e-03,1.0468198e+01,-2.2770975e-03,-2.2909728e-03,-2.2770975e-03,1.0468127e+01,1.0468181e+01
1.0000000e+02,3.3932218e+03,1.0643029e+01,-2.2334531e-03,-2.2992698e-03,-2.2334531e-03,1.0643009e+01,-2.2853701e-03,-2.2992698e-03,-2.2853701e-03,1.0642938e+01,1.0642992e+01
1.0000000e+02,4.1922674e+03,1.0806934e+01,-2.2401827e-03,-2.3060399e-03,-2.2401827e-03,1.0806915e+01,-2.2921204e-03,-2.3060399e-03,-2.2921204e-03,1.0806844e+01,1.0806898e+01
1.0000000e+02,5.1794747e+03,1.0959201e+01,-2.2456657e-03,-2.3115558e-03,-2.2456657e-03,1.0959182e+01,-2.2976202e-03,-2.3115558e-03,-2.2976202e-03,1.0959111e+01,1.0959165e+01
1.0000000e+02,6.3991523e+03,1.1099171e+01,-2.2501276e-03,-2.3160442e-03,-2.2501276e-03,1.1099151e+01,-2.3020956e-03,-2.3160442e-03,-2.3020956e-03,1.1099080e+01,1.1099134e+01
1.0000000e+02,7.9060432e+03,1.1226376e+01,-2.2537547e-03,-2.3196929e-03,-2.2537547e-03,1.1226356e+01,-2.3057337e-03,-2.3196929e-03,-2.3057337e-03,1.1226285e+01,1.1226339e+01
1.0000000e+02,9.7677811e+03,1.1340621e+01,-2.2567010e-03,-2.3226566e-03,-2.2567010e-03,1.1340601e+01,-2.3086888e-03,-2.3226566e-03,-2.3086888e-03,1.1340530e+01,1.1340584e+01
1.0000000e+02,1.2067926e+04,1.1442023e+01,-2.2590925e-03,-2.3250622e-03,-2.2590925e-03,1.1442003e+01,-2.3110875e-03,-2.3250622e-03,-2.3110875e-03,1.1441933e+01,1.1441986e+01
1.0000000e+02,1.4909717e+04,1.1531003e+01,-2.2610327e-03,-2.3270138e-03,-2.2610327e-03,1.1530983e+01,-2.3130335e-03,-2.3270138e-03,-2.3130335e-03,1.1530912e+01,1.1530966e+01
1.0000000e+02,1.8420700e+04,1.1608244e+01,-2.2626060e-03,-2.3285964e-03,-2.2626060e-03,1.1608224e+01,-2.3146115e-03,-2.3285964e-03,-2.3146115e-03,1.1608153e+01,1.1608207e+01
1.0000000e+02,2.2758459e+04,1.1674633e+01,-2.2638814e-03,-2.3298793e-03,-2.2638814e-03,1.1674613e+01,-2.3158907e-03,-2.3298793e-03,-2.3158907e-03,1.1674542e+01,1.1674596e+01
1.0000000e+02,2.8117687e+04,1.1731184e+01,-2.2649150e-03,-2.3309190e-03,-2.2649150e-03,1.1731164e+01,-2.3169274e-03,-2.3309190e-03,-2.3169274e-03,1.1731093e+01,1.1731147e+01
1.0000000e+02,3.4738921e+04,1.1778972e+01,-2.2657524e-03,-2.3317613e-03,-2.2657524e-03,1.1778952e+01,-2.3177673e-03,-2.3317613e-03,-2.3177673e-03,1.1778881e+01,1.1778935e+01
1.0000000e+02,4.2919343e+04,1.1819074e+01,-2.2664308e-03,-2.3324436e-03,-2.2664308e-03,1.1819055e+01,-2.3184477e-03,-2.3324436e-03,-2.3184477e-03,1.1818984e+01,1.1819038e+01
1.0000000e+02,5.3026113e+04,1.1852526e+01,-2.2669802e-03,-2.3329963e-03,-2.2669802e-03,1.1852506e+01,-2.3189988e-03,-2.3329963e-03,-2.3189988e-03,1.1852435e+01,1.1852489e+01
1.0000000e+02,6.5512856e+04,1.1880286e+01,-2.2674252e-03,-2.3334438e-03,-2.2674252e-03,1.1880266e+01,-2.3194450e-03,-2.3334438e-03,-2.3194450e-03,1.1880195e+01,1.1880249e+01
1.0000000e+02,8.0940012e+04,1.1903222e+01,-2.2677855e-03,-2.3338062e-03,-2.2677855e-03,1.1903203e+01,-2.3198064e-03,-2.3338062e-03,-2.3198064e-03,1.1903132e+01,1.1903186e+01
1.0000000e+02,1.0000000e+05,1.1922105e+01,-2.2680772e-03,-2.3340996e-03,-2.2680772e-03,1.1922085e+01,-2.3200990e-03,-2.3340996e-03,-2.3200990e-03,1.1922014e+01,1.1922068e+01
1.5000000e+02,3.1622777e+00,7.9764430e-01,-2.0713834e-04,-2.2268030e-04,-2.0713834e-04,7.9764010e-01,-2.2099503e-04,-2.2268030e-04,-2.2099503e-04,7.9761325e-01,7.9763255e-01
1.5000000e+02,3.9069399e+00,9.4183529e-01,-2.4421073e-04,-2.6207877e-04,-2.4421073e-04,9.4183049e-01,-2.6006317e-04,-2.6207877e-04,-2.6006317e-04,9.4180039e-01,9.4182206e-01
1.5000000e+02,4.8269574e+00,1.1050294e+00,-2.8610014e-04,-3.0645042e-04,-2.8610014e-04,1.1050239e+00,-3.0405563e-04,-3.0645042e-04,-3.0405563e-04,1.1049906e+00,1.1050146e+00
1.5000000e+02,5.9636233e+00,1.2876779e+00,-3.3294677e-04,-3.5589502e-04,-3.3294677e-04,1.2876717e+00,-3.5307118e-04,-3.5589502e-04,-3.5307118e-04,1.2876352e+00,1.2876616e+00
1.5000000e+02,7.3679546e+00,1.4896955e+00,-3.8478537e-04,-4.1039777e-04,-3.8478537e-04,1.4896886e+00,-4.0709628e-04,-4.1039777e-04,-4.0709628e-04,1.4896490e+00,1.4896777e+00
1.5000000e+02,9.1029818e+00,1.7103806e+00,-4.4152850e-04,-4.6981588e-04,-4.4152850e-04,1.7103729e+00,-4.6599215e-04,-4.6981588e-04,-4.6599215e-04,1.7103304e+00,1.7103613e+00
1.5000000e+02,1.1246578e+01,1.9483687e+00,-5.0294907e-04,-5.3386537e-04,-5.0294907e-04,1.9483601e+00,-5.2948178e-04,-5.3386537e-04,-5.2948178e-04,1.9483149e+00,1.9483479e+00
1.5000000e+02,1.3894955e+01,2.2016300e+00,-5.6866173e-04,-6.0210708e-04,-5.6866173e-04,2.2016204e+00,-5.9713574e-04,-6.0210708e-04,-5.9713574e-04,2.2015729e+00,2.2016077e+00
1.5000000e+02,1.7166979e+01,2.4675178e+00,-6.3810457e-04,-6.7393257e-04,-6.3810457e-04,2.4675073e+00,-6.6835758e-04,-6.7393257e-04,-6.6835758e-04,2.4674577e+00,2.4674943e+00
1.5000000e+02,2.1209509e+01,2.7428710e+00,-7.1052600e-04,-7.4855413e-04,-7.1052600e-04,2.7428596e+00,-7.4237291e-04,-7.4855413e-04,-7.4237291e-04,2.7428080e+00,2.7428462e+00
1.5000000e+02,2.6203985e+01,3.0241636e+00,-7.8498431e-04,-8.2500605e-04,-7.8498431e-04,3.0241513e+00,-8.1822951e-04,-8.2500605e-04,-8.1822951e-04,3.0240981e+00,3.0241377e+00
1.5000000e+02,3.2374575e+01,3.3076926e+00,-8.6036829e-04,-9.0216533e-04,-8.6036829e-04,3.3076794e+00,-8.9481689e-04,-9.0216533e-04,-8.9481689e-04,3.3076247e+00,3.3076656e+00
1.5000000e+02,3.9998234e+01,3.5897845e+00,-9.3544455e-04,-9.7879785e-04,-9.3544455e-04,3.5897704e+00,-9.7091144e-04,-9.7879785e-04,-9.7091144e-04,3.5897145e+00,3.5897565e+00
1.5000000e+02,4.9417134e+01,3.8670006e+00,-1.0089311e-03,-1.0536297e-03,-1.0089311e-03,3.8669857e+00,-1.0452472e-03,-1.0536297e-03,-1.0452472e-03,3.8669288e+00,3.8669717e+00
1.5000000e+02,6.1054023e+01,4.1363180e+00,-1.0795882e-03,-1.1254360e-03,-1.0795882e-03,4.1363024e+00,-1.1166043e-03,-1.1254360e-03,-1.1166043e-03,4.1362445e+00,4.1362883e+00
1.5000000e+02,7.5431201e+01,4.3952679e+00,-1.1463127e-03,-1.1931320e-03,-1.1463127e-03,4.3952517e+00,-1.1839000e-03,-1.1931320e-03,-1.1839000e-03,4.3951930e+00,4.3952376e+00
1.5000000e+02,9.3193958e+01,4.6420185e+00,-1.2082165e-03,-1.2558500e-03,-1.2082165e-03,4.6420017e+00,-1.2462669e-03,-1.2558500e-03,-1.2462669e-03,4.6419423e+00,4.6419875e+00
1.5000000e+02,1.1513954e+02,4.8753991e+00,-1.2646779e-03,-1.3129891e-03,-1.2646779e-03,4.8753818e+00,-1.3031017e-03,-1.3129891e-03,-1.3031017e-03,4.8753219e+00,4.8753676e+00
