# Created by auto-kappa
# 3ph scattering  : ./mp-22862/cube/kappa_fd_20x20x20/NaCl.result
# Isotope      : ./mp-22862/cube/kappa_fd_20x20x20/NaCl.self_isotope
# Temperature [K] : 50.00 to 1000.00
# Grain size [nm] : 3.16 to 100000.00
temperature[K],grain_size[nm],kxx[W/mK],kxy[W/mK],kxz[W/mK],kyx[W/mK],kyy[W/mK],kyz[W/mK],kzx[W/mK],kzy[W/mK],kzz[W/mK],kave[W/mK]
5.0000000e+01,3.1622777e+00,4.7478520e-01,-1.0069664e-04,-1.0894038e-04,-1.0069664e-04,4.7478494e-01,-1.0821801e-04,-1.0894038e-04,-1.0821801e-04,4.7477691e-01,4.7478235e-01
5.0000000e+01,3.9069399e+00,5.7913159e-01,-1.2256512e-04,-1.3239771e-04,-1.2256512e-04,5.7913132e-01,-1.3151588e-04,-1.3239771e-04,-1.3151588e-04,5.7912187e-01,5.7912826e-01
5.0000000e+01,4.8269574e+00,7.0476742e-01,-1.4880712e-04,-1.6047843e-04,-1.4880712e-04,7.0476713e-01,-1.5940490e-04,-1.6047843e-04,-1.5940490e-04,7.0475610e-01,7.0476355e-01
5.0000000e+01,5.9636233e+00,8.5538120e-01,-1.8014408e-04,-1.9392190e-04,-1.8014408e-04,8.5538090e-01,-1.9261930e-04,-1.9392190e-04,-1.9261930e-04,8.5536813e-01,8.5537675e-01
5.0000000e+01,7.3679546e+00,1.0350593e+00,-2.1735800e-04,-2.3352095e-04,-2.1735800e-04,1.0350590e+00,-2.3194669e-04,-2.3352095e-04,-2.3194669e-04,1.0350444e+00,1.0350543e+00
5.0000000e+01,9.1029818e+00,1.2482428e+00,-2.6127520e-04,-2.8010251e-04,-2.6127520e-04,1.2482425e+00,-2.7820890e-04,-2.8010251e-04,-2.7820890e-04,1.2482258e+00,1.2482370e+00
5.0000000e+01,1.1246578e+01,1.4996463e+00,-3.1274175e-04,-3.3450015e-04,-3.1274175e-04,1.4996460e+00,-3.3223504e-04,-3.3450015e-04,-3.3223504e-04,1.4996272e+00,1.4996399e+00
5.0000000e+01,1.3894955e+01,1.7941322e+00,-3.7259023e-04,-3.9751862e-04,-3.7259023e-04,1.7941319e+00,-3.9482658e-04,-3.9751862e-04,-3.9482658e-04,1.7941109e+00,1.7941250e+00
5.0000000e+01,1.7166979e+01,2.1365314e+00,-4.4159884e-04,-4.6989218e-04,-4.4159884e-04,2.1365311e+00,-4.6671630e-04,-4.6989218e-04,-4.6671630e-04,2.1365079e+00,2.1365235e+00
5.0000000e+01,2.1209509e+01,2.5314104e+00,-5.2044516e-04,-5.5223952e-04,-5.2044516e-04,2.5314101e+00,-5.4852395e-04,-5.5223952e-04,-5.4852395e-04,2.5313847e+00,2.5314018e+00
5.0000000e+01,2.6203985e+01,2.9827889e+00,-6.0965844e-04,-6.4501941e-04,-6.0965844e-04,2.9827886e+00,-6.4071232e-04,-6.4501941e-04,-6.4071232e-04,2.9827610e+00,2.9827795e+00
5.0000000e+01,3.2374575e+01,3.4938241e+00,-7.0957355e-04,-7.4848997e-04,-7.0957355e-04,3.4938238e+00,-7.4354692e-04,-7.4848997e-04,-7.4354692e-04,3.4937940e+00,3.4938140e+00
5.0000000e+01,3.9998234e+01,4.0664898e+00,-8.2028857e-04,-8.6267279e-04,-8.2028857e-04,4.0664895e+00,-8.5705991e-04,-8.6267279e-04,-8.5705991e-04,4.0664576e+00,4.0664790e+00
5.0000000e+01,4.9417134e+01,4.7012876e+00,-9.4162458e-04,-9.8731926e-04,-9.4162458e-04,4.7012872e+00,-9.8101591e-04,-9.8731926e-04,-9.8101591e-04,4.7012533e+00,4.7012760e+00
5.0000000e+01,6.1054023e+01,5.3970331e+00,-1.0730845e-03,-1.1218748e-03,-1.0730845e-03,5.3970326e+00,-1.1148753e-03,-1.1218748e-03,-1.1148753e-03,5.3969969e+00,5.3970209e+00
5.0000000e+01,7.5431201e+01,6.1507560e+00,-1.2138088e-03,-1.2654382e-03,-1.2138088e-03,6.1507554e+00,-1.2577521e-03,-1.2654382e-03,-1.2577521e-03,6.1507180e+00,6.1507432e+00
