# Temperature : 500
mfp,kcumu,kspec
-1.000000e-03,7.564530e-01,7.564530e-01
5.169483e+00,7.911341e-01,3.468116e-02
5.344710e+00,8.226764e-01,3.154222e-02
5.525877e+00,8.412372e-01,1.856080e-02
5.713186e+00,8.673116e-01,2.607441e-02
5.906843e+00,8.981802e-01,3.086862e-02
6.107064e+00,9.141149e-01,1.593470e-02
6.314073e+00,9.487360e-01,3.462106e-02
6.528098e+00,9.720904e-01,2.335443e-02
6.749378e+00,1.016618e+00,4.452810e-02
6.978158e+00,1.042669e+00,2.605015e-02
7.214694e+00,1.071882e+00,2.921312e-02
7.459247e+00,1.088920e+00,1.703788e-02
7.712089e+00,1.119446e+00,3.052662e-02
7.973502e+00,1.164112e+00,4.466542e-02
8.243777e+00,1.175139e+00,1.102742e-02
8.523212e+00,1.202075e+00,2.693566e-02
8.812119e+00,1.229305e+00,2.723062e-02
9.110820e+00,1.263907e+00,3.460141e-02
9.419645e+00,1.291385e+00,2.747789e-02
9.738938e+00,1.354945e+00,6.356075e-02
1.006905e+01,1.390809e+00,3.586382e-02
1.041036e+01,1.431252e+00,4.044284e-02
1.076324e+01,1.452904e+00,2.165195e-02
1.112807e+01,1.463173e+00,1.026869e-02
1.150528e+01,1.483833e+00,2.066079e-02
1.189526e+01,1.515327e+00,3.149311e-02
1.229847e+01,1.524418e+00,9.091233e-03
1.271535e+01,1.543573e+00,1.915515e-02
1.314635e+01,1.564989e+00,2.141597e-02
1.359197e+01,1.576368e+00,1.137944e-02
1.405269e+01,1.576368e+00,0.000000e+00
1.452903e+01,1.576368e+00,0.000000e+00
1.502151e+01,1.601822e+00,2.545400e-02
1.553069e+01,1.606830e+00,5.007259e-03
1.605713e+01,1.606830e+00,0.000000e+00
1.660141e+01,1.640643e+00,3.381342e-02
1.716414e+01,1.645391e+00,4.748351e-03
1.774594e+01,1.666011e+00,2.061963e-02
1.834747e+01,1.672869e+00,6.857908e-03
1.896938e+01,1.675242e+00,2.373185e-03
1.961238e+01,1.680348e+00,5.106135e-03
2.027717e+01,1.688846e+00,8.497803e-03
2.096450e+01,1.698799e+00,9.953278e-03
2.167512e+01,1.706981e+00,8.181926e-03
2.240983e+01,1.706981e+00,0.000000e+00
2.316945e+01,1.715928e+00,8.946664e-03
2.395481e+01,1.715928e+00,0.000000e+00
2.476680e+01,1.727056e+00,1.112839e-02
2.560631e+01,1.740269e+00,1.321306e-02
2.647427e+01,1.740269e+00,0.000000e+00
2.737166e+01,1.756494e+00,1.622475e-02
2.829946e+01,1.762151e+00,5.656816e-03
2.925872e+01,1.762151e+00,0.000000e+00
3.025049e+01,1.762151e+00,0.000000e+00
3.127587e+01,1.775835e+00,1.368417e-02
3.233602e+01,1.786397e+00,1.056162e-02
3.343209e+01,1.786397e+00,0.000000e+00
3.456533e+01,1.786397e+00,0.000000e+00
3.573697e+01,1.789125e+00,2.728220e-03
3.694833e+01,1.804580e+00,1.545463e-02
